chrlbl,citations,definition,part_of_speech,word,first_citation_date,first_citation_text,last_citation_date,last_citation_text,family
1950s+,"[{'@first': 'yes', 'date': '1961', 'aut': 'A. Reiss', 'src': 'Cressey & Ward', 'tit': 'Delinquency, Crime, and Social Process', 'edn': '1969', 'num': '997', '#text': 'in Most of my friends queer-bait, but I don’t [...] Ain’t no sense in queer-baitin’; I don’t need the money that bad'}, {'date': '1964', 'aut': 'H. Selby Jr', 'tit': 'Last Exit to Brooklyn', 'edn': '1966', 'num': '18', '#text': 'She knew he wouldn’t go with her while the others were there, fearing the jeers of queerbait'}, {'date': '1991', 'aut': 'P. Cornwell', 'tit': 'Body of Evidence', 'edn': '1992', 'num': '247', '#text': 'One of the queerbaits from the restaurant she wrote about in her letters is dying of AIDS even as we speak'}, {'@class': 'new', 'date': '2008', 'aut': 'G. Pelecanos', 'tit': 'Way Home', 'edn': '2009', 'num': '203', '#text': 'I’m a big man [...] but I look like queer bait next to them ABs'}]","an effeminate young boy who attracts, or is supposed to attract older male homosexuals; thus as v., to seek out a homosexual encounter for money",compound,queerbait,1961,"in Most of my friends queer-bait, but I don’t [...] Ain’t no sense in queer-baitin’; I don’t need the money that bad",2008,I’m a big man [...] but I look like queer bait next to them ABs,queer
1960s+,"[{'@first': 'yes', 'date': '1979', 'aut': 'J. Rechy', 'tit': 'Rushes', 'edn': '1981', 'num': '28', '#text': 'He disarmed a ‘queer-basher’ ready to lash with a chain at a cowring man'}, {'date': '1986', 'aut': 'R. Campbell', 'tit': 'In La-La Land We Trust', 'edn': '1999', 'num': '10', '#text': 'The rain had washed all the baby prostitutes and twangy boys, the chicken hawks and queer bashers, the gonifs and petty grifters off the four corners of Hollywood and Vine'}, {'date': '1989', 'aut': 'A. Higgins', 'tit': 'Helsingør Station and Other Departures', 'num': '127', '#text': '‘The Bird I Fancied’ in The Couch and Hound [...] patronized by queers and queer-bashers'}, {'date': '1991', 'aut': 'D. Jarman', 'tit': 'Smiling in Slow Motion', 'edn': '2000', 'num': '18', '#text': 'letter HB has made himself a one-off T-shirt – it says: ‘Queerbashers’ above a photograph of him brandishing a machine-gun; below it the legend: ‘Come and Get It’'}]",one who specializes in beating up (and usu. robbing) male homosexuals,compound,queer-basher,1979,He disarmed a ‘queer-basher’ ready to lash with a chain at a cowring man,1991,letter HB has made himself a one-off T-shirt – it says: ‘Queerbashers’ above a photograph of him brandishing a machine-gun; below it the legend: ‘Come and Get It’,queer
1960s+,"[{'pre': '1958', 'aut': 'W.B. Miller', 'src': 'Short', 'tit': 'Gang Delinquency and Delinquent Subcultures', 'edn': '1968', 'num': '140', '#text': '‘Gang Delinquency’ in A concern over homosexuality [...] is manifested by the institutionalized practice of baiting ‘queers’ often accompanised by violent physical attacks]'}, {'@first': 'yes', 'date': '1972', 'aut': 'B. Rodgers', 'tit': 'Queens’ Vernacular'}, {'date': '1977', 'aut': 'D. Powis', 'tit': 'Signs of Crime', 'num': '198', '#text': 'Queer bashing Assaulting male homosexuals either for gain or for perverse pleasure'}, {'date': '1981', 'aut': 'M. Gee', 'tit': 'Meg', 'num': '218', '#text': 'I used to do some queer-bashing myself'}, {'date': '1989', 'aut': 'J. Morton', 'tit': 'Lowspeak'}, {'date': '2000', 'tit': 'Observer', 'num': '6', '#text': 'Screen 30 Jan. Any boy that didn’t respond positively to PE became the subject of a bullying that was queerbashing by any other name'}, {'date': '2003', 'tit': 'Guardian', 'num': '3', '#text': 'G2 19 Aug. I am too old and sanguine by nature to be disturbed by this unseen queer-bashing'}, {'@class': 'new', 'date': '2013', 'tit': 'Guardian Culture on Line', '#text': '1 July [Internet] The line about a friend getting beaten up by queer-bashers was true'}]",the beating up (and usu. robbing) of male homosexuals,compound,queer-bashing,1958,‘Gang Delinquency’ in A concern over homosexuality [...] is manifested by the institutionalized practice of baiting ‘queers’ often accompanised by violent physical attacks],2013,1 July [Internet] The line about a friend getting beaten up by queer-bashers was true,queer
1960s+,"[{'@first': 'yes', 'date': '1964', 'tit': 'Lavender Lex.', 'num': 'n.p.', 'scaps': 'dirt', '#text': ':–Hoodlums, tramps, pill pushers, leaches, and sometimes renegade homosexuals; Prospective queer-rollers'}, {'date': '1977', 'aut': 'D. Powis', 'tit': 'Signs of Crime', 'num': '198', '#text': 'Queer rolling Robbing male homosexuals'}]","the beating up (and robbery) of homosexual men; thus , one who does this",compound,queer-rolling,1964,":–Hoodlums, tramps, pill pushers, leaches, and sometimes renegade homosexuals; Prospective queer-rollers",1977,Queer rolling Robbing male homosexuals,queer
late 19C+,"[{'@first': 'yes', 'date': '1888', 'tit': 'Missouri Republican', 'num': 'n.p.', 'org': 'F&H', '#text': '4 Mar. The police are looking for the queer-shover'}, {'date': '1904', 'aut': 'Number 1500', 'tit': 'Life In Sing Sing', 'num': '257', 'i': 'Queer Shover', '#text': '. Passer of counterfeit money'}, {'date': '1909', 'aut': 'J. Ware', 'tit': 'Passing Eng. of the Victorian Era'}, {'date': '1939', 'aut': 'Howsley', 'tit': 'Argot: Dict. of Und. Sl.'}, {'date': '1949', 'aut': 'Monteleone', 'tit': 'Criminal Sl.', 'edn': 'rev. edn'}]",a passer of counterfeit money,compound,queer shover,1888,4 Mar. The police are looking for the queer-shover,1949,,queer
late 19C,"{'@first': 'yes', 'date': '1872', 'aut': 'G.P. Burnham', 'tit': 'Memoirs of the US Secret Service', 'num': '63', '#text': 'Fred Biebush steadily followed the traffic of the ‘queersman’ in the west and southwest'}",one who makes or distributes counterfeit money,compound,queersman,1872,Fred Biebush steadily followed the traffic of the ‘queersman’ in the west and southwest,1872,Fred Biebush steadily followed the traffic of the ‘queersman’ in the west and southwest,queer
mid-18C–mid-19C,"[{'@first': 'yes', 'date': '1753', 'aut': 'J. Poulter', 'tit': 'Discoveries', 'edn': '1774', 'num': '42', 'i': ['a good Justice', 'a bad Justice'], '#text': 'A rum Beak; . A quare Beak;'}, {'date': '1786', 'tit': 'Whole Art of Thieving', '#text': 'A quare Beak a bad Justice'}, {'date': '1809', 'aut': 'G. Andrewes', 'tit': 'Dict. Sl. and Cant'}, {'date': '1821', 'tit': 'Flash Dict.'}, {'date': '1835', 'aut': 'G. Kent', 'tit': 'Modern Flash Dict.', 'num': '5', '#text': 'Beak, queer, – a magistrate that is particularly strict to his duty'}, {'date': '1848', 'tit': ['Flash Dict.', 'Sinks of London Laid Open'], '#text': 'in'}, {'circa': '1850', 'aut': 'Duncombe', 'tit': 'New and Improved Flash Dict.'}, {'date': '1859', 'aut': {'num': 'in', '#text': 'Matsell'}, 'tit': 'Vocabulum'}, {'@class': 'new18C', 'date': '1867', 'tit': 'Nat. Police Gaz.', 'num': 'n.p.', '#text': '(NY) 14 Sept. Big Moll Johnson, the Amazon of ‘Hooker’s division,’ a ‘rusty’ old ‘gin pig,’ lost to virtue and wedded to sin, was before the ‘beakquere’ [...] for creating a disturbance in the ‘snoozing ken’'}]",an incorruptible magistrate,compound,queer beak,1753,A rum Beak; . A quare Beak;,1867,"(NY) 14 Sept. Big Moll Johnson, the Amazon of ‘Hooker’s division,’ a ‘rusty’ old ‘gin pig,’ lost to virtue and wedded to sin, was before the ‘beakquere’ [...] for creating a disturbance in the ‘snoozing ken’",queer
mid-19C,"{'@first': 'yes', 'date': '1848', 'tit': ['Flash Dict.', 'Sinks of London Laid Open'], '#text': 'in'}",sour beer,compound,queer belch,1848,in,1848,in,queer
mid-16C–mid-19C,"[{'@first': 'yes', 'circa': '1561', 'aut': 'Awdeley', 'tit': 'Fraternitye of Vacabondes', 'src': 'Viles & Furnivall', 'edn': '1907', 'num': '4', '#text': 'in A Quire bird is one that came lately out of prison, & goeth to seeke seruice. He is commonly a stealer of Horses'}, {'date': '1608', 'aut': 'Dekker', 'tit': 'Belman of London', 'num': 'D2', 'i': 'Quire-Birdes', '#text': 'Your  are such as haue sung in such cages as Newgate or a country Gaole [...] they seeke presently to build their nests vnder some honest mans roofe, not with intent to bring him in any profit, but onely to put themselues into money or apparell (though it be by filching)'}, {'date': '1669', 'aut': 'W. Winstanley', 'tit': 'New Help To Discourse', 'num': '132', 'i': ['Quire Birds', 'Newgate'], '#text': ', are those who have sung in such cages as , or some Country Goal [sic], who having get loose, fall to their old trade of roguing and thieving again'}, {'date': '1674', 'aut': 'Head', 'tit': 'Canting Academy', 'edn': '2nd edn', 'num': '53', 'i': ['Quire Birds', 'Whit', 'Naskin', 'Newgate', 'Bridewell'], '#text': 'are such who have sung in the , the ; that is, , , or some Country Goal, who having got loose fall to their old trade of Roguing and Thieving again'}, {'circa': '1698', 'aut': 'B.E.', 'tit': 'Dict. Canting Crew', 'num': 'n.p.', '#text': 'queer birds c. such as having got loose, return to their old Trade of Roguing and Thieving'}, {'date': '1725', 'tit': 'New Canting Dict.', 'i': 'c', '#text': '[as cit. .1698]'}, {'date': ['1737', '1759', '1760', '1776'], 'aut': 'Bailey', 'tit': 'Universal Etym. Eng. Dict.', 'i': 'c', '#text': '[as cit. .1698]'}, {'date': ['1785', '1788', '1796'], 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue'}, {'date': '1811', 'tit': 'Lex. Balatronicum'}, {'date': '1823', 'aut': 'Egan', 'tit': 'Grose’s Classical Dict. of the Vulgar Tongue'}, {'date': '1859', 'aut': 'Matsell', 'tit': 'Vocabulum', 'num': '71', 'scaps': 'queer birds', '#text': 'Reformed convicts who return to their old profession'}, {'date': '1862', 'aut': 'E. de la Bédollière', 'tit': 'Londres et les Anglais', 'num': '317/1', 'scaps': 'queer blrds', '#text': ', voleurs libérés qui ont repris leurs vieilles habitudes'}, {'date': '1871', 'aut': 'C. Hindley', 'tit': 'Old Bk Collector’s Misc.', 'num': '75', 'scaps': ['quire', 'choir cove', 'bird'], '#text': 'or  or . — A complete rogue; one that has sung in different choirs or cages; from whence we have gaol birds'}, {'date': '1989', 'aut': 'H. Rawson', 'tit': 'Dict. of Invective', 'edn': '1991', 'num': '318', 'i': 'Queer birds', '#text': '(rogues released from prison)'}]","a mendicant villain who, recently released from prison, returns to robbery, specializing in stealing horses",compound,queer bird,1561,"in A Quire bird is one that came lately out of prison, & goeth to seeke seruice. He is commonly a stealer of Horses",1989,(rogues released from prison),queer
late 18C–early 19C,"[{'@class': 'new', '@first': 'yes', 'circa': '1786', 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue', 'num': 'n.p.', 'u': 'Quire Bird', '#text': 'ms. additions . One that has sing in Different Cages, i.e. Goals. Cant'}, {'@first': 'yes', 'date': ['1788', '1796'], 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue', 'edn': '2nd, 3rd edn', 'num': 'n.p.', 'scaps': ['Quire', 'Choir Bird'], '#text': ', or . A complete rogue, one that has sung in different choirs or cages, i.e. gaols'}, {'date': '1811', 'tit': 'Lex. Balatronicum', '#text': '[as cit. 1788]'}]",a recidivist,compound,queer bird,1786,"ms. additions . One that has sing in Different Cages, i.e. Goals. Cant",1811,[as cit. 1788],queer
