chrlbl,citations,definition,first_citation_date,first_citation_text,last_citation_date,last_citation_text,part_of_speech,word,family
mid-17C,"{'@class': 'new18C', '@first': 'yes', 'date': '1654', 'tit': 'New Brawle', 'num': '4', '#text': 'I have a husband good for nothing , but to be set in the Chimney-corner , to dry pist clothes on his horns'}",urine-soaked,1654,"I have a husband good for nothing , but to be set in the Chimney-corner , to dry pist clothes on his horns",1654.0,"I have a husband good for nothing , but to be set in the Chimney-corner , to dry pist clothes on his horns",adjective,pissed,piss
1940s+,"{'@first': 'yes', 'date': '2001', 'aut': 'S. King', 'tit': 'Dreamcatcher', 'num': '10', '#text': 'For a moment everything is all right again; as right as it can be in such a piss-ache world'}","appalling, unpleasant, distasteful",2001,For a moment everything is all right again; as right as it can be in such a piss-ache world,2001.0,For a moment everything is all right again; as right as it can be in such a piss-ache world,compound,piss-ache,piss
1990s+,"{'@first': 'yes', 'date': '1978', 'aut': 'S. King', 'tit': 'Stand', 'edn': '1990', 'num': '1177', '#text': '‘The Great Western Desert!’ he cried. ‘The Big Piss-All!’'}",nothing at all,1978,‘The Great Western Desert!’ he cried. ‘The Big Piss-All!’,1978.0,‘The Great Western Desert!’ he cried. ‘The Big Piss-All!’,compound,piss-all,piss
20C+,"[{'@first': 'yes', 'date': '1947', 'aut': 'J.L. Riordan', 'tit': 'AS', 'num': '111', 'i': ['B. and W.', 'piss and punk'], '#text': '‘Some ‘G.I. Alphabet Soup’’ in  XXII:2 Apr. A bread-and-water diet may be called , though in the Navy and Marine Corps the more usual signification is the alliterative'}, {'@class': 'N331', 'date': '1953', 'aut': 'L. Uris', 'tit': 'Battle Cry', 'edn': '1964', 'num': '211', '#text': 'I’ll have this guy on piss and punk for the rest of the cruise'}, {'date': '1958', 'aut': 'L.F. Cooley', 'tit': 'Run For Home', 'edn': '1959', 'num': '65', '#text': 'Maybe you done something wrong and they’re gonna give you piss and punk for thirty days!'}, {'date': '1960', 'con': 'WWII', 'aut': 'R. Leckie', 'tit': 'Marines!', 'num': '59', '#text': 'I was in the bread-and-water cell starting to do my five days of piss-and-punk'}, {'date': '1970', 'aut': 'D. Ponicsan', 'tit': 'Last Detail', 'num': '18', '#text': 'It’s not like the brig. They take it easier on long termers. Christ, I was on piss ’n punk for three of the eight days'}, {'date': '1992', 'aut': 'Bentley & Corbett', 'tit': 'Prison Sl.', 'num': '11', 'b': 'Piss ’n’ Punk', '#text': 'Rations of bread and water which are served in the hole or lockdown situations. This practice is not widespread today'}]",bread and water,1947,"‘Some ‘G.I. Alphabet Soup’’ in  XXII:2 Apr. A bread-and-water diet may be called , though in the Navy and Marine Corps the more usual signification is the alliterative",1992.0,Rations of bread and water which are served in the hole or lockdown situations. This practice is not widespread today,compound,piss and punk,piss
1940s+,"[{'@first': 'yes', 'date': '1962', 'aut': 'F. Norman', 'tit': 'Guntz', 'num': '17', '#text': 'Some of the less hardened piss artists started to fall a-kip on the floor'}, {'date': '1975', 'aut': 'J. Ryan', 'tit': 'Remembering How We Stood', 'num': '142', '#text': '‘Sports-king’ was an echo of Dublin small talk, nineteen-thirty vintage – the nearest contemporary expression would be ‘piss-artist’'}, {'@class': 'N331', 'date': '1979', 'aut': 'F. Norman', 'tit': 'Too Many Crooks Spoil the Caper', 'num': '149', '#text': '‘Piss artist!’ she called after me'}, {'date': '1983', 'con': '1950s', 'aut': 'D. Nobbs', 'tit': 'Second From Last in the Sack Race', 'num': '266', '#text': 'They’re all piss-artists'}, {'date': '1989', 'con': '1950s–60s', 'aut': 'G. Tremlett', 'tit': 'Little Legs', 'num': '2', '#text': 'in The old man was like me, a piss-artist'}, {'date': '1998', 'tit': 'Guardian', 'num': '25', '#text': '15 Oct. Many, to my knowledge, the media’s thirstiest piss artists'}, {'date': '2001', 'aut': 'K. Sampson', 'tit': 'Outlaws', 'edn': 'ms.', 'num': '23', '#text': 'It’s not the greatest ever time I’ve had in there. Too many piss artists'}, {'@class': 'new', 'date': '2010', 'aut': 'K. Richards', 'tit': 'Life', 'num': '435', '#text': 'My dad turned out to be a great piss artist'}]",a regular drunk,1962,Some of the less hardened piss artists started to fall a-kip on the floor,2010.0,My dad turned out to be a great piss artist,compound,piss artist,piss
1990s+,"{'@first': 'yes', 'date': '1999', 'aut': 'C. Logue', 'tit': 'Prince Charming', 'num': '205', '#text': 'A bunch of Anglo-French geriatric piss-artists'}",a general term of abuse,1999,A bunch of Anglo-French geriatric piss-artists,1999.0,A bunch of Anglo-French geriatric piss-artists,compound,piss artist,piss
1980s,"{'@first': 'yes', 'date': '1985', 'tit': 'Viz Comic: The Big Hard No. 2', 'num': '81', '#text': 'Ya fuckin’ piss-bag!!!'}",a despicable person,1985,Ya fuckin’ piss-bag!!!,1985.0,Ya fuckin’ piss-bag!!!,compound,piss-bag,piss
1960s,"{'@first': 'yes', 'date': '1969', 'aut': '‘Iceberg Slim’', 'tit': 'Mama Black Widow', 'num': '156', '#text': 'Shet up yu stoopid piss britches'}",a general term of abuse,1969,Shet up yu stoopid piss britches,1969.0,Shet up yu stoopid piss britches,compound,piss britches,piss
2000s,"{'@first': 'yes', 'date': '2000', 'aut': 'F. Kellerman', 'tit': 'Stalker', 'edn': '2001', 'num': '208', '#text': 'She thought he was a piss bucket, excuse my French'}",a contemptible person,2000,"She thought he was a piss bucket, excuse my French",2000.0,"She thought he was a piss bucket, excuse my French",compound,piss bucket,piss
late 17C–early 19C,"[{'@first': 'yes', 'date': '1686', 'aut': 'Behn', 'tit': 'Lucky Chance', 'num': 'II i', '#text': 'A cloak to skulk in a-night, and a pair of piss-burned shammy breeches'}, {'date': '1691', 'aut': 'N. Ward', 'tit': 'Writings', 'edn': '1704', 'num': '23', '#text': '‘The Authors Lamentation’ My coat it is turn’d, with the Lappets Piss-Burn’d'}, {'date': '1742', 'aut': 'Fielding', 'tit': 'Joseph Andrews', 'edn': '1954', 'num': 'III 274', '#text': 'A long piss-burnt beard served to retain the liquor of the stone-pot'}, {'@class': 'new', 'circa': '1786', 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue', 'num': 'n.p.', 'u': 'Piss-burned', '#text': 'ms. additions , commonly applied to a Discoloured Grey Wig'}, {'date': ['1788', '1796'], 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue', 'edn': '2nd, 3rd edn', 'num': 'n.p.'}, {'date': '1811', 'tit': 'Lex. Balatronicum'}, {'date': '1823', 'aut': 'Egan', 'tit': 'Grose’s Classical Dict. of the Vulgar Tongue'}]","discoloured, esp. of a grey wig which has turned yellow",1686,"A cloak to skulk in a-night, and a pair of piss-burned shammy breeches",1823.0,,compound,piss-burned,piss
1950s+,"{'@first': 'yes', 'date': '1957', 'aut': 'Kerouac', 'tit': 'On The Road', 'edn': '1972', 'num': '26', '#text': 'Every now and then you have to yell for pisscall'}",a break – during work or on a journey – for urination,1957,Every now and then you have to yell for pisscall,1957.0,Every now and then you have to yell for pisscall,compound,piss-call,piss
,"[{'@first': 'yes', 'date': '1961', 'aut': 'G.L. Coon', 'tit': 'Meanwhile, Back at the Front', 'edn': '1962', 'num': '70', '#text': 'Lola you want us to give you a piss ca-- Shall we call you in the morning?'}, {'date': '1984', 'aut': 'W.J. Caunitz', 'tit': 'One Police Plaza', 'num': '296', '#text': 'See that I get a piss call at six a.m'}]",a wake-up call,1961,Lola you want us to give you a piss ca-- Shall we call you in the morning?,1984.0,See that I get a piss call at six a.m,compound,piss-call,piss
1940s–50s,"{'@first': 'yes', 'date': '1950', 'aut': 'Goldin', 'tit': 'DAUL', 'num': '158/1', '#text': 'et al. Piss-can. The station-house, or local jail. Any place where suspects or accused are held while awaiting hearing'}",a prison,1950,"et al. Piss-can. The station-house, or local jail. Any place where suspects or accused are held while awaiting hearing",1950.0,"et al. Piss-can. The station-house, or local jail. Any place where suspects or accused are held while awaiting hearing",compound,pisscan,piss
1980s,"{'@class': 'new', '@first': 'yes', 'date': '1987', 'aut': 'Murray & Murrell', 'tit': 'Lang. Sadomasochism', 'edn': '1989', 'num': '106', '#text': 'interview in Piss clubs are getting more and more common'}",a club for devotees of urolagnia,1987,interview in Piss clubs are getting more and more common,1987.0,interview in Piss clubs are getting more and more common,compound,piss club,piss
,"{'@first': 'yes', 'date': '1953', 'aut': 'L. Uris', 'tit': 'Battle Cry', 'edn': '1964', 'num': '144', '#text': 'Ain’t he a pisscutter?'}",a generally obnoxious person,1953,Ain’t he a pisscutter?,1953.0,Ain’t he a pisscutter?,compound,piss-cutter,piss
