chrlbl,citations,definition,part_of_speech,word,first_citation_date,first_citation_text,last_citation_date,last_citation_text,family
mid-19C,"[{'@first': 'yes', 'date': '1837', 'tit': 'Bentley’s Misc.', 'num': '562', 'i': ['without', 'with'], '#text': '‘The Execution’ in  June There is ‘punch,’ ‘cold ,’ ‘hot ,’ ‘heavy wet’'}, {'@class': 'new', 'date': '1838', 'aut': 'R.S. Surtees', 'tit': 'Jorrocks Jaunts', 'edn': '1874', 'num': '244', '#text': 'He said [...] he would stand two glasses of ‘cold without’ if I would. ‘Hot with,’ said I, ‘and I’ll do it’'}, {'date': '1849', 'aut': 'C. Kingsley', 'tit': 'Alton Locke', 'edn': '1850', 'num': '58', '#text': 'Send me up a go of hot with, and I’ll sit up with him'}, {'date': '1856', 'aut': 'C. Reade', 'tit': 'It Is Never Too Late to Mend', 'num': '289', '#text': 'III ‘Hot with,’ demanded the waiter [...] She poured first the brandy then the hot water into a tumbler'}, {'@class': 'N331', 'date': '1857', 'aut': 'C. Kingsley', 'tit': 'Two Years Ago', 'num': '96', '#text': 'I Now, Doctor, let us have a glass of brandy-and-water, hot with'}, {'date': '1863', 'aut': 'T. Taylor', 'tit': 'Ticket-Of-Leave Man', 'num': 'Act I', '#text': 'Three hots with —'}, {'@class': 'new', 'date': '1873', 'aut': '‘Cuthbert Bede’', 'tit': 'Little Mr. Bouncer', 'num': '66', 'i': ['callidum-cum', 'frigidum sine'], '#text': '‘What did you mean [...] by saying that you gave the wet men  and had  yourselves?’ ‘It’s the short for hot-with and cold-without’'}]",hot spirits and water with sugar (cf. ),compound,hot with,1837,"‘The Execution’ in  June There is ‘punch,’ ‘cold ,’ ‘hot ,’ ‘heavy wet’",1873,‘What did you mean [...] by saying that you gave the wet men  and had  yourselves?’ ‘It’s the short for hot-with and cold-without’,hot
late 19C,"{'@class': 'new17C', '@first': 'yes', 'date': '1896', 'aut': 'F. Hutcheson', 'tit': 'Barkeep Stories', 'num': '145', '#text': '‘I give him a couple o’ hot backs so’s he kin let loose o’ some o’ de water dat’s in him, an’ finally he gets so he kin talk to me’'}",a (hard) blow on the the back,compound,hot back,1896,"‘I give him a couple o’ hot backs so’s he kin let loose o’ some o’ de water dat’s in him, an’ finally he gets so he kin talk to me’",1896,"‘I give him a couple o’ hot backs so’s he kin let loose o’ some o’ de water dat’s in him, an’ finally he gets so he kin talk to me’",hot
17C,"{'@first': 'yes', 'date': '1607', 'aut': 'Tourneur', 'tit': 'Revenger’s Tragedy', 'edn': '1967', 'num': 'I ii', '#text': 'I’d hot-back’d devil to my father [...] Who but an eunuch would not sin his bed?'}","of a woman, promiscuous, sexually voracious",compound,hot-backed,1607,I’d hot-back’d devil to my father [...] Who but an eunuch would not sin his bed?,1607,I’d hot-back’d devil to my father [...] Who but an eunuch would not sin his bed?,hot
1980s+,"{'@first': 'yes', 'date': '1998', 'con': '1960s', 'aut': 'G. Washington', 'tit': 'Blood Brothers', 'num': '133', '#text': 'You had better keep your hot biscuit eyes over there on them controls'}",something exciting,compound,hot biscuit,1998,You had better keep your hot biscuit eyes over there on them controls,1998,You had better keep your hot biscuit eyes over there on them controls,hot
1940s+,"[{'@first': 'yes', 'date': '1942', 'tit': 'ATS', 'num': '497', 'i': 'Hot book', '#text': ', a pornographic book'}, {'date': '1957', 'aut': 'J. Gelber', 'tit': 'Connection', 'num': '81', '#text': 'Cowboy was reading some kind of hot book'}, {'date': '1969', 'aut': 'P. Roth', 'tit': 'Portnoy’s Complaint', 'num': '206', '#text': 'Does she wrap them around your ass like in the hot books?'}, {'date': '1980', 'aut': 'W. Kotzwinkle', 'tit': 'Jack in the Box', 'num': '52', '#text': 'He’s sellin’ hotbooks...Ever see one?'}, {'date': '1997', 'aut': 'L. Foster', '#text': '‘What Makes a Hot Book Hot’ [Internet]'}]","a pornographic magazine, book",compound,hot book,1942,", a pornographic book",1997,‘What Makes a Hot Book Hot’ [Internet],hot
20C+,"[{'@first': 'yes', 'date': '1980', 'tit': 'Maledicta', 'num': '197', 'b': ['Lady Hotbot', 'likes her oats', 'greens', 'grommet'], '#text': 'IV:2 (Winter) She is a , who ,  or her'}, {'date': '1984', 'aut': 'L. Paros', 'tit': 'Erotic Tongue', 'num': '179', 'i': ['bad case of the hots', 'hot back', 'hot-bot', 'Miss Hotbot', 'Lady Hotbot'], '#text': 'She’s got a  ( 20thC.), a , and a  (also  or , c. 1920)'}]","a promiscuous, sexually voracious woman",compound,hot-bot,1980,"IV:2 (Winter) She is a , who ,  or her",1984,"She’s got a  ( 20thC.), a , and a  (also  or , c. 1920)",hot
late 19C+,"[{'@first': 'yes', 'date': '1899–1900', 'aut': 'C.L. Cullen', 'tit': 'Tales of the Ex-Tanks', 'num': '64', '#text': 'Come down to the Two Brothers saloon tonight and hear the Hot Boy from New York hit up the piano'}, {'date': '1957', 'aut': 'S. Selvon', 'tit': 'Ways of Sunlight', 'num': '126', '#text': 'Mango had a friend in the East End, name Hotboy, who was a fellar from Trinidad'}, {'date': '1997–2000', 'tit': 'College Sl. Research Project', '#text': '(Cal. State Poly. Uni., Pomona) [Internet] Hot Boy/Fire Boy (noun) A male who is very fine and cute'}, {'@class': 'N331', 'date': '2000', 'tit': ['Ebonics Primer', 'www.dolemite.com'], 'b': 'hot boy', 'i': 'Nigga, I’m a Hot Boy', '#text': 'at  [Internet]  Definition: niggas dat keep dey block on fire. always at top of dey game. Example:'}, {'date': '2005', 'aut': 'Jiggy', '#text': '‘What the Deal?’ [lyrics] Never be a hot boy'}, {'date': '2007', 'aut': 'UGK', '#text': '‘Heaven’ [lyrics] I wonder if it’s a heaven for all the drug dealers / For all the hot boys, strippers and the thug niggaz'}]","a fashionable young man, a ‘young blood’",compound,hot boy,1899,Come down to the Two Brothers saloon tonight and hear the Hot Boy from New York hit up the piano,2007,"‘Heaven’ [lyrics] I wonder if it’s a heaven for all the drug dealers / For all the hot boys, strippers and the thug niggaz",hot
1970s,"{'@first': 'yes', 'date': '1973', 'aut': 'E. Bunker', 'tit': 'No Beast So Fierce', 'num': '90', '#text': '‘What happened?’ ‘Hot burglary.’'}",aggravated burglary,compound,hot burglary,1973,‘What happened?’ ‘Hot burglary.’,1973,‘What happened?’ ‘Hot burglary.’,hot
1940s+,"{'@first': 'yes', 'date': '1941', 'aut': 'Baker', 'tit': 'Popular Dict. Aus. Sl.'}",very good,compound,hot cack,1941,,1941,,hot
1920s+,"[{'@class': 'new17C', '@first': 'yes', 'date': '1925', 'tit': 'Arizona Republican', 'num': '4/2', '#text': '(Phoenix, AZ) 26 June There was nowhere a spark of vengeance There seldom is [...] on the scaffold, or in the ‘hot chair’'}, {'@class': 'new17C', 'date': '1925', 'tit': 'Harrisburgh Teleg.', 'num': '1', '#text': '(PA) 15 Apr. [photo caption] [The] boy, condemned to die [...] is not nearly so much interested in what he calls the ‘red hot chair’'}, {'@class': 'N331', 'date': '1927', 'tit': 'DN', 'num': '451', 'i': 'Hot chair', '#text': '‘Jargon of the Und.’ in  V , The electric chair'}, {'date': '1931–4', 'aut': 'J.T. Farrell', 'tit': 'Short Stories', 'edn': '1937', 'num': '98', '#text': '‘Just Boys’ in He’ll make a nice frying on the hot chair'}, {'date': '1936', 'aut': 'K. Mackenzie', 'tit': 'Living Rough', 'num': '135', '#text': 'They kept him in the cooler for six months and then sizzles him, put him on the hot stool'}, {'@class': 'new17C uk', 'date': '1946', 'tit': 'Sketch', 'num': '284/2', '#text': ""(London) 29 May  A negro in Louisiana, who survived 11,000 volts on the hot chair, said that it tickled a little, but didn't hurt""}, {'date': '1949', 'aut': 'Monteleone', 'tit': 'Criminal Sl.', 'edn': 'rev. edn'}, {'date': '1953', 'aut': 'T. Thursday', 'tit': 'Famous Detective Story', '#text': '‘Case of the Honest Thieves’ in  [Internet] Many a lucky gent [...] skips the one-way passage in the hot armchair when his lawyer claims that he went nuts'}, {'date': '1962', 'aut': 'Ragen & Finston', 'tit': 'World’s Toughest Prison', 'num': '804', 'scaps': 'hot chair', '#text': '– The electric chair'}, {'@class': 'new17C us', 'date': '1979', 'tit': 'Santa Fe New Mexican', 'num': '13/6', '#text': '(ref. to 1947) (NM) 4 Mar. Louis young, another black, was executed on June 13, 1947 [...] Mrs W.B. Byrd wrote Gov. Thomas Mabry [that] she wanted to see the ‘dirty nigger in the hot chair’'}]",the electric chair,compound,hot chair,1925,"(Phoenix, AZ) 26 June There was nowhere a spark of vengeance There seldom is [...] on the scaffold, or in the ‘hot chair’",1979,"(ref. to 1947) (NM) 4 Mar. Louis young, another black, was executed on June 13, 1947 [...] Mrs W.B. Byrd wrote Gov. Thomas Mabry [that] she wanted to see the ‘dirty nigger in the hot chair’",hot
