chrlbl,citations,definition,part_of_speech,word,first_citation_date,first_citation_text,last_citation_date,last_citation_text,family
19C,"{'@first': 'yes', 'date': '1913', 'aut': 'E.L. Warnock', 'tit': 'DN', 'num': '22', 'b': 'catish', 'i': 'catish', '#text': '‘Terms of Approbation And Eulogy’ in  IV:i . Stylish, elegant. [...] ‘She’s a very  lady.’'}","elegant, stylish",adjective,catish,1913,"‘Terms of Approbation And Eulogy’ in  IV:i . Stylish, elegant. [...] ‘She’s a very  lady.’",1913,"‘Terms of Approbation And Eulogy’ in  IV:i . Stylish, elegant. [...] ‘She’s a very  lady.’",cat
1950s–80s,"[{'@first': 'yes', 'date': '1953', 'tit': 'N.Z. Observer', 'num': '6', 'org': 'DNZE', '#text': '1 July They could not help being brought into close personal contact with what some of them coarsely termed ‘the cats’ bar’ or ‘the mares’ nest’'}, {'date': '1959', 'aut': 'G. Slatter', 'tit': 'Gun in My Hand', 'num': '23', '#text': 'He’s a randy old coot always hangin around the cats’ bar'}, {'@class': 'N331', 'date': '1966', 'aut': 'G.W. Turner', 'tit': 'Eng. Lang. in Aus. and N.Z.', 'num': '120', 'org': 'DNZE', '#text': 'There are expressions with which I am not personally directly familiar, cat’s bar, presumably ‘ladies bar’'}, {'date': '1967', 'aut': 'F. Sargeson', 'tit': 'Hangover', 'num': '154', '#text': 'Somewhere in this place there’s what I believe they call a cat bar. You may prefer to pick up something out of there'}, {'date': '1976', 'aut': 'J. McClenaghan', 'tit': 'Travelling Man', 'num': '118', 'org': 'DNZE', '#text': '‘What bar’s that?’ ‘The cat bar,’ said Eton Junior. ‘I’d rather walk into a lion’s den than a cat’s bar.’ [...] It was explained that this bar [...] was used by women'}, {'date': '1988', 'aut': 'McGill', 'tit': 'Dict. of Kiwi Sl.', 'num': '26/1', 'b': 'cat’s bar', '#text': 'ladies’ bar or lounge bar of hotel where women permitted, as opposed to all-male traditional public bar'}, {'date': '2003', 'aut': 'McGill', 'tit': 'Reed Dict. of N.Z. Sl.', '#text': '[as cit. 1988]'}]",a bar set aside for women and their escorts,compound,cat bar,1953,1 July They could not help being brought into close personal contact with what some of them coarsely termed ‘the cats’ bar’ or ‘the mares’ nest’,2003,[as cit. 1988],cat
mid-19C+,"[{'@class': 'new us', '@first': 'yes', 'date': '1854', 'aut': 'B.G. Ferris', 'tit': 'Utah & Mormons', 'num': '308', '#text': 'The object is to keep the women and babies, as much as possible, apart, and prevent those terrible cat-fights which sometimes occur, with all the accompaniments of Billingsgate, torn caps, and broken broom-sticks'}, {'@class': 'new us', 'date': '1949', 'tit': 'Pacific Spectator', 'num': '374', '#text': '3 Finally she can involve herself in a screaming catfight with Mrs. Kendall, and in the course of it Mr. Palmer can learn [...] what makes her pupils so large, what is the source of her furious and demented energy'}, {'@first': 'yes', 'date': '1959', 'aut': 'E. De Roo', 'tit': 'Young Wolves', 'num': '137', '#text': 'I give a little gift of appreciation and what happens? A cat fight'}, {'date': '1986', 'aut': 'L. Heinemann', 'tit': 'Paco’s Story', 'edn': '1987', 'num': '36', '#text': 'Three old biddies from Georgia getting into a catfight about boyfriends'}, {'date': '1997', 'aut': 'G. Sikes', 'tit': '8 Ball Chicks', 'edn': '1998', 'num': '198', '#text': 'Adults, dealing with boys who carried high-powered guns, tended to shrug off such female violence as cat fights'}, {'date': '2002', 'aut': '‘Touré’', 'tit': 'Portable Promised Land', 'num': '39', '#text': '(ms.) By the time that night had turned high yaller they had the biggest catfight you could imagine'}, {'@class': 'new us', 'date': '2013', 'aut': 'D. Dunbar', 'tit': 'Devil’s Paw', '#text': '[ebook] I had a bad premonition that Wyatt’s party was going to be ruined by a catfight of epic proportions. [...] I knew it would hurt Wyatt terribly to have his sisters break into a hair–pulling brawl'}]",a fight between two (or more) women,compound,cat fight,1854,"The object is to keep the women and babies, as much as possible, apart, and prevent those terrible cat-fights which sometimes occur, with all the accompaniments of Billingsgate, torn caps, and broken broom-sticks",2013,[ebook] I had a bad premonition that Wyatt’s party was going to be ruined by a catfight of epic proportions. [...] I knew it would hurt Wyatt terribly to have his sisters break into a hair–pulling brawl,cat
late 19C-1910s,"[{'@class': 'edited', '@first': 'yes', 'date': '1891', 'tit': 'Rock Island Daily Argus', 'num': '5/3', '#text': '14 May Certain of those who compose the ‘infloonce’ had a cat fit yesterday when the erroneous information got into circulation [...] that the police were to wear ‘green’ helmets'}, {'@class': 'edited', 'date': '1905', 'tit': 'N.Y. Tribune', 'num': '47/2', '#text': '9 Apr. Castro throws his annual cat-fit'}, {'@class': 'edited', 'date': '1910', 'tit': 'N.Y. Tribune', 'num': '46/2', '#text': '6 Nov. She don’t know whether to throw another cat fit or faint'}]","an attack of hysteria, usu. by a woman",compound,cat fit,1891,14 May Certain of those who compose the ‘infloonce’ had a cat fit yesterday when the erroneous information got into circulation [...] that the police were to wear ‘green’ helmets,1910,6 Nov. She don’t know whether to throw another cat fit or faint,cat
1940s,"{'@first': 'yes', 'date': '1949', 'aut': 'Monteleone', 'tit': 'Criminal Sl.', 'edn': 'rev. edn'}",a brothel,compound,cat flat,1949,,1949,,cat
mid-19C,"{'@first': 'yes', 'circa': '1850', 'aut': 'Duncombe', 'tit': 'New and Improved Flash Dict.'}","an ageing, worn-out prostitute",compound,cat-lamb,1850,,1850,,cat
1960s,"[{'@first': 'yes', 'date': '1966', 'aut': 'Trimble', 'tit': '5000 Adult Sex Words and Phrases', 'num': '39', 'scaps': 'cat-lapper', '#text': '(Vulg.) A Cunnilinguist, usually in reference to a Lesbian'}, {'date': '1972', 'aut': 'R.A. Wilson', 'tit': 'Playboy’s Book of Forbidden Words', 'num': '61', '#text': 'Catlapper is lesbian slang for cunnilinguist'}]",a (lesbian) cunnilinguist,compound,cat-lapper,1966,"(Vulg.) A Cunnilinguist, usually in reference to a Lesbian",1972,Catlapper is lesbian slang for cunnilinguist,cat
17C,"[{'@first': 'yes', 'date': '1616', 'aut': 'Fletcher', 'tit': 'Cust. of Country', 'num': 'I i', 'org': 'F&H', '#text': 'The rude claws of such a cat o’ mountain!'}, {'date': '1629', 'aut': 'J. Shirley', 'tit': 'Grateful Servant', 'num': 'III iv', '#text': 'Fair, high-fed, glorious, and springing cat-a-mountains, ladies of blood, whose eyes will make a soldier melt, an he were composed of marble'}, {'@class': 'uk', 'date': '1631', 'aut': 'Dekker', 'tit': 'Penny-Wise', 'num': 'n.p.', '#text': 'The poor catamountains in Turnbull who venture upon the pikes of damnation for single money'}, {'date': '1639', 'aut': 'J. Shirley', 'tit': 'Gentleman of Venice', 'num': 'III iv', '#text': 'What man of menaces Dare look awry upon my cat-a-mountain?'}]",a high-spirited whore or promiscuous woman,compound,cat o’mountain,1616,The rude claws of such a cat o’ mountain!,1639,What man of menaces Dare look awry upon my cat-a-mountain?,cat
late 19C+,"[{'@class': 'new', '@first': 'yes', 'date': '1890-1904', 'aut': 'Farmer & Henley', 'tit': 'Sl. & Its Analogues'}, {'@class': 'new', 'date': '1901', 'tit': 'Highland Recorder', 'num': '3/1', '#text': '(Highland Co. VA) 23 Aug. A social, which was given the special name of a ‘cat party’ was given [...] by Misses Phoebe and Mabel Jones'}, {'@class': 'new', 'date': '1902', 'tit': 'W.A. Sun. Times', 'num': '1/1', '#text': '(Perth) 19 Jan. Actions for slanders are promised in consequence of her dissemination of cat-party candards'}, {'@class': 'new', 'date': '1906', 'tit': 'Arizona Republican', 'num': '15/3', '#text': '(Phoenix, AZ) 11 Nov. Miss Elizabeth Kendrick entertained with a cat party in honor of her cousin Miss Walter'}, {'@class': 'new', 'date': '1922', 'tit': 'Holbrook News', 'num': '5/3', '#text': '(Navajo, Co., AZ) 27 Oct. The ladies of the Obesity Division of the Deuce and Needle club [...] held a cat party'}, {'date': '1933', 'aut': '‘William Juniper’', 'tit': 'True Drunkard’s Delight', 'num': '246', 'i': ['swish-swash', 'cat', 'hen', 'bitch-party'], '#text': 'Weak tipple, , fit only for drinking at a -, -, or'}, {'date': '1937–84', 'aut': 'Partridge', 'tit': 'DSUE'}]",a party consisting of women only,compound,cat party,1890,,1937,,cat
mid-19C,"{'@first': 'yes', 'circa': '1850', 'aut': 'Duncombe', 'tit': 'New and Improved Flash Dict.'}",a drunken fighting woman,compound,cat-scrap,1850,,1850,,cat
1930s–50s,"[{'@first': 'yes', 'date': '1912', 'aut': 'R.W. Brown', 'tit': 'DN', 'num': '573', 'b': 'cats’-nest', 'i': 'n', '#text': '‘Word-List From Western Indiana’ in  III:viii , . A house of ill repute'}, {'date': '1956', 'aut': 'I. Fleming', 'tit': 'Diamonds Are Forever', 'edn': '1958', 'num': '112', '#text': 'Legalized cat-shops. Nice set-up'}]",a brothel,compound,cat shop,1912,"‘Word-List From Western Indiana’ in  III:viii , . A house of ill repute",1956,Legalized cat-shops. Nice set-up,cat
