chrlbl,citations,definition,part_of_speech,word,first_citation_date,first_citation_text,last_citation_date,last_citation_text,family
2010s,"{'@class': 'edited', '@first': 'yes', 'date': '2013', 'aut': 'J. Stahl', 'tit': 'Happy Mutant Baby Pills', 'num': '112', '#text': '‘So,’ I said, feeling dickish without doing anything to stop it, ‘is there somebody who makes money out of kids with defects and learning disorders?’'}",stupid,adjective,dickish,2013,"‘So,’ I said, feeling dickish without doing anything to stop it, ‘is there somebody who makes money out of kids with defects and learning disorders?’",2013,"‘So,’ I said, feeling dickish without doing anything to stop it, ‘is there somebody who makes money out of kids with defects and learning disorders?’",dick
2010s,"{'@class': 'new19a uk', '@first': 'yes', 'date': '2018', 'aut': 'Unknown T', '#text': '‘Homerton B’ [lyrics] Gyal want more dickin’'}",sexual intercourse,noun,dicking,2018,‘Homerton B’ [lyrics] Gyal want more dickin’,2018,‘Homerton B’ [lyrics] Gyal want more dickin’,dick
2010s,"{'@class': 'edited', '@first': 'yes', 'date': '2011', 'aut': 'G. Hayward', 'tit': 'Corruption Officer', 'num': '28', '#text': '[ebook] Ch. Let me see ya dick beaters (hands)'}",a hand,compound,dick-beater,2011,[ebook] Ch. Let me see ya dick beaters (hands),2011,[ebook] Ch. Let me see ya dick beaters (hands),dick
2000s,"{'@first': 'yes', 'date': '2000', 'tit': ['Ebonics Primer', 'www.dolemite.com'], 'b': 'dick-bitch', 'i': 'Goddamn! That fukker won’t leave me alone about my business... he actin like a dick-bitch', '#text': 'at  [Internet]  Definition: a guy that causes drama; especially over a female Example: Fine Honey:'}","an over-emotional man, esp. as regards women",compound,dick-bitch,2000,at  [Internet]  Definition: a guy that causes drama; especially over a female Example: Fine Honey:,2000,at  [Internet]  Definition: a guy that causes drama; especially over a female Example: Fine Honey:,dick
1970s+,"[{'@first': 'yes', 'date': '1971', 'aut': 'Lighter', 'tit': 'HDAS', '#text': 'oral testimony in  I'}, {'date': '1986', 'aut': 'F. Taylor', 'tit': 'Auf Wiedersehen Pet Two', 'num': '126', '#text': 'We don’t want your opinions, dick-brain!'}, {'@class': 'N331', 'date': '1989', 'con': '1968', 'aut': 'W.E. Merritt', 'tit': 'Where the Rivers Ran Backward', 'num': '130', '#text': 'I got a God damn piece of rope caught in my prop, dick brain'}, {'date': '1998', 'aut': 'D. Hecht', 'tit': 'Skull Session', 'num': '421', '#text': 'Don’t shoot your mouth off, dickbrain'}, {'date': '2002', 'aut': 'J. Lerner', 'tit': 'You Got Nothing Coming', 'num': '8', 'i': 'officer', '#text': 'Don’t  me, dickbrain'}]",a fool; thus a general derog. term,compound,dickbrain,1971,oral testimony in  I,2002,"Don’t  me, dickbrain",dick
1970s+,"[{'@first': 'yes', 'date': '1973', 'aut': 'E. Bunker', 'tit': 'No Beast So Fierce', 'num': '8', '#text': 'Look, dick breath motherfucker. Get off my mama’s back'}, {'date': '1990', 'con': {'i': 'c', '#text': '.1970'}, 'aut': 'G. Hasford', 'tit': 'Phantom Blooper', 'num': '197', '#text': 'Put that letter down, dick breath, or you will be wearing a stump sock on your neck'}, {'date': '1992', 'aut': 'R. Marcinko', 'tit': 'Rogue Warrior', 'edn': '1993', 'num': ['29', '266', '337'], '#text': 'Fuck you all very much, you merry murdering cockbreath shit-for-brains ass-holes. [Ibid.]  Leave those cocksucking, cunt-breath, pus-nuts [...] pencil-pushing Pentagon assholes to me. [Ibid.]  Okay, cockbreaths, we’ve gotten our act together'}, {'date': '1993', 'aut': 'J. Mowry', 'tit': 'Six Out Seven', 'edn': '1994', 'num': '343', '#text': 'Shove that stick up your ass an try a few revolutions, dick-breath!'}, {'@class': 'new', 'date': '1996', 'aut': 'P. Temple', 'tit': 'Bad Debts', 'edn': '2012', '#text': '[ebook] ‘Answer me, cockbreath.’ Those were his words. I felt scared'}, {'date': '2001', 'aut': 'J. Stahl', 'tit': 'Plainclothes Naked', 'edn': '2002', 'num': '283', '#text': 'Keep your money, cock-breath. It’s probably diseased anyway'}, {'date': '2002', 'tit': 'Big Ben Kennedy.com', '#text': 'Journal 24 Jul. [Internet] ‘Can I not cuss for 3 hours?’ I should be able to, but just in case let me get it out of my system now... Shit, Fuck, Bitch, Cocksucker, Motherfucker, [...] Dick Breath'}, {'@class': 'new', 'date': '2012', 'aut': 'M. McBride', 'tit': 'Frank Sinatra in a Blender', '#text': '[ebook] He asked me if I had a problem. ‘Of course I have a problem, cockbreath!’'}, {'@class': 'new19B', 'date': '2019', 'aut': 'S.M. Jones', 'tit': 'Lives Laid Away', '#text': '[ebook] ‘Fuck you, dick-breath!’'}]",an unpleasant person,compound,dick-breath,1973,"Look, dick breath motherfucker. Get off my mama’s back",2019,"[ebook] ‘Fuck you, dick-breath!’",dick
1970s,"{'@first': 'yes', 'date': '1977', 'aut': 'P. Hamill', 'tit': 'Flesh and Blood', 'edn': '1978', 'num': '26', '#text': '‘You mean he’s the boss fag?’ ‘You got it [...] Head dick-chewer.’'}",a fellator,compound,dick-chewer,1977,‘You mean he’s the boss fag?’ ‘You got it [...] Head dick-chewer.’,1977,‘You mean he’s the boss fag?’ ‘You got it [...] Head dick-chewer.’,dick
2000s,"{'@first': 'yes', 'date': '2000', 'tit': ['Ebonics Primer', 'www.dolemite.com'], 'b': 'dick curd', 'i': 'You motha fuckin dick curd I ought to beat your ass black and blue for fuckin wit my lady', '#text': 'at  [Internet]  Definition: a person who finds pleasure in dicking another person over usually two males Example:'}",one who enjoys storing up rivalry between others,compound,dick curd,2000,at  [Internet]  Definition: a person who finds pleasure in dicking another person over usually two males Example:,2000,at  [Internet]  Definition: a person who finds pleasure in dicking another person over usually two males Example:,dick
1990s+,"[{'@class': 'new18D', '@first': 'yes', 'date': '1993', 'tit': 'Aus. Word Map', '#text': '[Internet] I heard ‘DTs’ around Brisbane and near north and south coasts in the 80\'s, but the more colorful term was ""Dick Daks""'}, {'@class': 'new18D', 'date': '1993', 'tit': 'Aus. Word Map', '#text': ""[Internet] [Hunter Valley informant] Have heard of the D.T's to be called dick sticks, lollie bags, sluggos""}, {'@class': 'new18D', 'date': '1993', 'tit': 'Aus. Word Map', '#text': '[Internet] ‘I’m from Newcastle and have used the terms Sluggos, dickstickers, budgie-smugglers and banana-hammock’'}, {'@class': 'new18D', 'date': '1993', 'tit': 'Aus. Word Map', '#text': '[Internet] dikdaks. the speedos worn by males'}, {'@class': 'edited', 'date': '2011', 'aut': 'J. Miller', 'tit': 'Lingo Dict.', 'num': '77', '#text': 'dick bathers or dick stickers men’s Speedos or swimming briefs. Also dick-daks, dick pointers, dick togs or dick pokers'}, {'@class': 'edited', 'date': '2012', 'aut': 'B. Moore', 'num': 'n.p.', 'i': ['dick daks', 'dick pointers', 'DPs', 'dick pokers', 'dick stickers', 'dick togs', 'DTs'], '#text': '‘Aus. Sl.’ paper presented to Leicester U. Slang Workshop, Sept. 2012 The speedo variety [of trunks] developed an extraordinary number of risqué or simply curious synonyms: [...]  (daks is an Australian term for ‘trousers’),  (sometimes abbreviated to ), , ,  (sometimes abbreviated to )'}]",tight short male bathing trunks,compound,dick daks,1993,"[Internet] I heard ‘DTs’ around Brisbane and near north and south coasts in the 80's, but the more colorful term was ""Dick Daks""",2012,"‘Aus. Sl.’ paper presented to Leicester U. Slang Workshop, Sept. 2012 The speedo variety [of trunks] developed an extraordinary number of risqué or simply curious synonyms: [...]  (daks is an Australian term for ‘trousers’),  (sometimes abbreviated to ), , ,  (sometimes abbreviated to )",dick
2000s,"{'@first': 'yes', 'date': '2001', 'aut': '‘Randy Everhard’', 'tit': 'Tattoo of a Naked Lady', 'num': '69', '#text': 'Double chins jiggling and one helluva dick-do. [...] That’s when your belly hangs lower than your dick do'}","a large, drooping stomach",compound,dick-do,2001,Double chins jiggling and one helluva dick-do. [...] That’s when your belly hangs lower than your dick do,2001,Double chins jiggling and one helluva dick-do. [...] That’s when your belly hangs lower than your dick do,dick
1980s+,"{'@first': 'yes', 'date': '1988', 'aut': 'H. Max', 'tit': 'Gay (S)language'}",semen,compound,dick drink,1988,,1988,,dick
1990s+,"[{'@first': 'yes', 'date': '1971', 'aut': 'F. Hilaire', 'tit': 'Thanatos', 'num': '155', '#text': 'A queer, a dick-eater, a scummy pervert'}, {'date': '1991', 'aut': 'L. Bing', 'tit': 'Do or Die', 'edn': '1992', 'num': '177', '#text': 'You think you so down, you dick-eatin’ little homo'}]","a general insult, lit. ‘fellating’; thus as n.",compound,dick-eating,1971,"A queer, a dick-eater, a scummy pervert",1991,"You think you so down, you dick-eatin’ little homo",dick
1970s+,"[{'@first': 'yes', 'date': '1975', 'aut': 'Lighter', 'tit': 'HDAS', '#text': 'oral testimony in  I'}, {'date': '1983', 'aut': 'S. King', 'tit': 'Christine', 'num': '171', '#text': 'How did you like that, dickface?'}, {'date': '1985', 'tit': 'Totally True Diaries of an Eighties Roller Queen', '#text': '[Internet] 17 Nov. Bill and I were kissing in the corridor and an old fashioned dick face teacher came by and told us if he caught us again he’d call our parents. Asshole'}, {'date': '1997', 'aut': 'C. Hiaasen', 'tit': 'Lucky You', 'num': '31', 'i': 'our', '#text': 'Then where’s ticket, dickface?'}, {'date': '1997–2000', 'tit': 'College Sl. Research Project', '#text': '(Cal. State Poly. Uni., Pomona) [Internet] Dickface (noun) A jerk. (Usually referring to a male.)'}, {'date': '2004', 'aut': 'P. Howard', 'tit': 'PS, I Scored the Bridesmaids', 'num': '236', '#text': 'All the way there Dick Features is crapping on about how him and Hennessy [etc.]'}]",a general term of derision,compound,dickface,1975,oral testimony in  I,2004,All the way there Dick Features is crapping on about how him and Hennessy [etc.],dick
1980s+,"{'@first': 'yes', 'date': '1984', 'aut': 'K. Weaver', 'tit': 'Texas Crude', 'num': '108', 'i': 'Dick-fingered', '#text': ', Maladroit. ‘He’s so dick-fingered he can’t pick his nose without puttin’ his eye out.’'}",maladroit,compound,dick-fingered,1984,", Maladroit. ‘He’s so dick-fingered he can’t pick his nose without puttin’ his eye out.’",1984,", Maladroit. ‘He’s so dick-fingered he can’t pick his nose without puttin’ his eye out.’",dick
1990s+,"{'@first': 'yes', 'date': '1997', 'aut': 'L. Davies', 'tit': 'Candy', 'num': '137', '#text': 'What do I do all day? Listen to this, dickfuck'}",a general term of abuse,compound,dick-fuck,1997,"What do I do all day? Listen to this, dickfuck",1997,"What do I do all day? Listen to this, dickfuck",dick
2010s,"{'@class': 'edited', '@first': 'yes', 'date': '2012', 'aut': '‘Dutch’', 'tit': '? (Pronounced Que)', '#text': '[ebook] She wanted him to know the pussy was his when he wanted it. He already knew that because his dick game was crazy'}",sexual ability and technique,compound,dick game,2012,[ebook] She wanted him to know the pussy was his when he wanted it. He already knew that because his dick game was crazy,2012,[ebook] She wanted him to know the pussy was his when he wanted it. He already knew that because his dick game was crazy,dick
2010s,"[{'@class': 'edited', '@first': 'yes', 'date': '2012', 'aut': 'J. Díaz', 'tit': 'This Is How You Lose Her', 'num': '111', '#text': 'He called me a dickhole. I’d say that was promising'}, {'@class': 'edited', 'date': '2012', 'aut': 'M. McBride', 'tit': 'Frank Sinatra in a Blender', '#text': '[ebook] ‘Hey dickhole!’ No Nuts barked. He slapped Telly in the face'}]",a general term of abuse,compound,dickhole,2012,He called me a dickhole. I’d say that was promising,2012,[ebook] ‘Hey dickhole!’ No Nuts barked. He slapped Telly in the face,dick
1980s+,"[{'@first': 'yes', 'date': '1994', 'aut': 'C. Major', 'tit': 'Juba to Jive', 'num': '135', 'b': 'Dickhound', '#text': 'n. (1980s) a woman who has many sexual partners; a slut'}, {'date': '2002', 'tit': 'RogReviews.com', '#text': '[Internet] If the two position fuck feels a little rushed, it is only so he can go back to doggy to fuck this Dutch dickhound in her hot little asshole'}]",a promiscuous woman,compound,dick-hound,1994,n. (1980s) a woman who has many sexual partners; a slut,2002,"[Internet] If the two position fuck feels a little rushed, it is only so he can go back to doggy to fuck this Dutch dickhound in her hot little asshole",dick
2000s,"[{'@first': 'yes', 'date': '2000', 'tit': 'JohnsBooks.com', '#text': '[Internet] NEW YORK CITY – One day in the life of a dickhound. Scene: a very cruisey tearoom, a good reason to visit Manhattan'}, {'date': '2002', 'aut': 'Fratbear', 'tit': 'fratbear.tripod.com', '#text': '‘Fratbears Pt 1’ at  [Internet] Sloan also made no secret of the fact that he was a true dickhound. He loved sucking, fucking... hell, he just loved men'}]",a promiscuous male homosexual,compound,dick-hound,2000,"[Internet] NEW YORK CITY – One day in the life of a dickhound. Scene: a very cruisey tearoom, a good reason to visit Manhattan",2002,"‘Fratbears Pt 1’ at  [Internet] Sloan also made no secret of the fact that he was a true dickhound. He loved sucking, fucking... hell, he just loved men",dick
1970s–80s,"[{'@first': 'yes', 'date': '1999', 'con': '1979–80', 'aut': 'A. Wheatle', 'tit': 'Brixton Rock', 'edn': '2004', 'num': '143', '#text': 'Some man fling their dick macs in der after they just done use it'}, {'date': '2008', 'aut': 'A. Wheatle', 'tit': 'Dirty South', 'num': '91', '#text': 'Get some protection [...] the normal dick macs'}]",a condom,compound,dick mac,1999,Some man fling their dick macs in der after they just done use it,2008,Get some protection [...] the normal dick macs,dick
2010s,"[{'@class': 'new18A', '@first': 'yes', 'date': '2012', 'tit': 'Chicago Trib.', 'num': 'TAB-5/2', '#text': '‘The Onion’ 1 Nov. Abnormally growing cells consistently make the ‘complete dick move’ of prodsucing false-positive signals. Cancer cell mutate into even cockier pissants'}, {'@class': 'edited', 'date': '2014', 'aut': 'Eble', 'tit': 'UNC-CH Campus Sl. Spring 2014', 'num': '4', '#text': 'DICK MOVE — a callous action: X: ‘You asked her out knowing that I’ve liked her for the past two months?’ Y: ‘Sorry, man. That was a dick move. She said no if that makes you feel any better.’'}]","a thoughtless, cruel action",compound,dick move,2012,‘The Onion’ 1 Nov. Abnormally growing cells consistently make the ‘complete dick move’ of prodsucing false-positive signals. Cancer cell mutate into even cockier pissants,2014,"DICK MOVE — a callous action: X: ‘You asked her out knowing that I’ve liked her for the past two months?’ Y: ‘Sorry, man. That was a dick move. She said no if that makes you feel any better.’",dick
19C+,"{'@first': 'yes', 'date': '1898', 'aut': 'F.B. Lloyd', 'src': 'Hudson', 'tit': 'Humor of the Old Deep South', 'edn': '1936', 'num': '197', '#text': 'in I made a stavin, stirrin speech. It must of been a ring-tail dick nailer, for the crowd was all with me at the finish'}","something outstanding, exceptional of its type",compound,dick-nailer,1898,"in I made a stavin, stirrin speech. It must of been a ring-tail dick nailer, for the crowd was all with me at the finish",1898,"in I made a stavin, stirrin speech. It must of been a ring-tail dick nailer, for the crowd was all with me at the finish",dick
