chrlbl,citations,definition,part_of_speech,word,first_citation_date,first_citation_text,last_citation_date,last_citation_text,family
1920s,"{'@first': 'yes', 'date': '1929', 'aut': 'M. Bodenheim', 'tit': 'Sixty Seconds', 'num': '51', '#text': 'It was a cheap, doggish job for anyone with the least brains'}",second-rate,adjective,doggish,1929,"It was a cheap, doggish job for anyone with the least brains",1929,"It was a cheap, doggish job for anyone with the least brains",dog
1960s+,"[{'pre': '1610', 'aut': 'Rowlands', 'tit': 'Martin Mark-all', 'num': '27', '#text': 'For their liues they are dissolute in behauior, Apish, doggish, and Swinish, according to their disposition of ther bodies, flattering in speech, deceitful in words, and in Oathes not a diuell can surpasse them]'}, {'@first': 'yes', 'date': '1963', 'aut': 'A. Baron', 'tit': 'Lowlife', 'edn': '2001', 'num': '71', '#text': 'I didn’t wink at him, or mutter any doggish remarks'}, {'date': '1965', 'aut': 'C. Brown', 'tit': 'Manchild in the Promised Land', 'edn': '1969', 'num': '399', '#text': 'The old no-goodamn doggish husband of mine'}, {'date': '1968', 'tit': 'Current Sl.', '#text': '‘Sl. of Watts’ in  III:2'}, {'date': '1991', 'aut': 'W.T. Vollmann', 'tit': 'Whores for Gloria', 'num': '51', '#text': 'Funny as the doggishly ugly faces of fortyish transvestite whores pursing their cheeks and loudly wolfwhistling at men'}, {'@class': 'new us', 'date': '2010', 'aut': 'S. Bundle', 'tit': 'Extreme Danger', 'num': '41', '#text': 'God knows, Mr. Big next door beat Justin hands down when it came to doggish lewdness'}]","obsessed with sex, lecherous; thus  adv",adjective,doggish,1610,"For their liues they are dissolute in behauior, Apish, doggish, and Swinish, according to their disposition of ther bodies, flattering in speech, deceitful in words, and in Oathes not a diuell can surpasse them]",2010,"God knows, Mr. Big next door beat Justin hands down when it came to doggish lewdness",dog
late 19C,"[{'@first': 'yes', 'date': '1965', 'aut': 'T.B. Haber', 'tit': 'AS', 'num': '94', 'scaps': ['dog', 'dogways'], '#text': '‘Canine Terms Applied to Human Beings’ in  XL:2 . To copulate on all fours. Hence'}, {'date': '1989', 'aut': 'H. Rawson', 'tit': 'Dict. of Invective', 'edn': '1991', 'num': '122', 'i': ['dog fashion, dog-style,', 'dog-ways'], '#text': 'The copulation probably should be accomplished in the position variously known as or'}]",having sexual intercourse in the rear-entry position,adverb,dogways,1965,‘Canine Terms Applied to Human Beings’ in  XL:2 . To copulate on all fours. Hence,1989,The copulation probably should be accomplished in the position variously known as or,dog
late 19C,"[{'@first': 'yes', 'date': '1896', 'aut': 'H. Blossom', 'tit': 'Checkers', 'num': '203', '#text': 'Thar ye go, with yer dog-durned laziness'}, {'date': '1917', 'aut': 'A. Wright', 'tit': 'Muddy France', 'edn': '1988', 'num': '3', '#text': 'diary 12 Feb. We had the final full dress rehearsal for this dog blasted attack'}]",a euph. for,compound,dog-durned,1896,"Thar ye go, with yer dog-durned laziness",1917,diary 12 Feb. We had the final full dress rehearsal for this dog blasted attack,dog
,"{'@first': 'yes', 'date': '1980', 'aut': 'E. Folb', 'tit': 'Runnin’ Down Some Lines', 'num': '186', '#text': 'They take d’money and let some dude go in dere and screw all he want to. Dog nigger do dat'}","an unpleasant, aggressive person",compound,dog nigger,1980,They take d’money and let some dude go in dere and screw all he want to. Dog nigger do dat,1980,They take d’money and let some dude go in dere and screw all he want to. Dog nigger do dat,dog
late 18C,"[{'@first': 'yes', 'date': ['1785', '1788', '1796'], 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue', 'num': 'n.p.', 'scaps': ['Booby', 'dog booby'], '#text': ', or , an awkward lout, clodhopper, or country fellow'}, {'date': '1811', 'tit': 'Lex. Balatronicum'}, {'date': '1873', 'tit': 'Sl. Dict.'}]","a country lout, a male peasant",compound,dog-booby,"['1785', '1788', '1796']",", or , an awkward lout, clodhopper, or country fellow",1873,,dog
1940s+,"[{'@first': 'yes', 'date': '1983', 'con': {'i': 'c', '#text': '.1944'}, 'aut': 'Kaplan & Smith', 'tit': 'One Last Look', 'num': '89', '#text': 'Others elected to make a different sort of statement. Witness ‘Dog Breath’ [illus. of USAF B-17]'}, {'date': '1989', 'aut': 'H. Rawson', 'tit': 'Dict. of Invective', 'edn': '1991', 'num': '120', 'i': 'dogbreath', '#text': '. Bad breath, a.k.a. halitosis'}, {'date': '2004', 'tit': 'iVillage.co.uk', '#text': '[Internet] There’s hardly a bigger turn-off than bad breath. [...] So, what can be done to combat dog breath?'}]",bad breath,compound,dog-breath,1983,Others elected to make a different sort of statement. Witness ‘Dog Breath’ [illus. of USAF B-17],2004,"[Internet] There’s hardly a bigger turn-off than bad breath. [...] So, what can be done to combat dog breath?",dog
1980s+,"[{'@first': 'yes', 'date': '1981', 'aut': 'Lighter', 'tit': 'HDAS', '#text': 'oral testimony in  I'}, {'date': '2003', 'tit': 'Chicago Trib.', '#text': '10 Aug. [Internet] Hey, dog breath, get outta town [headline] No halitosis allowed in our ’hood — Chicago has a reputation to uphold'}]",one who has bad breath; thus an offensive person,compound,dog-breath,1981,oral testimony in  I,2003,"10 Aug. [Internet] Hey, dog breath, get outta town [headline] No halitosis allowed in our ’hood — Chicago has a reputation to uphold",dog
late 18C–early 19C,"[{'@class': 'new', '@first': 'yes', 'circa': '1786', 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue', 'num': 'n.p.', 'u': 'Dog Buffers', '#text': 'ms. additions . Dog Stealers, who kill those Dogs not advertised for, sell their Skins, & feed the remaining Dogs with their flesh'}, {'date': ['1788', '1796'], 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue', 'edn': '2nd, 3rd edn', 'num': 'n.p.'}, {'date': '1811', 'tit': 'Lex. Balatronicum'}, {'date': '1823', 'aut': 'Egan', 'tit': 'Grose’s Classical Dict. of the Vulgar Tongue'}]",a dog stealer,compound,dog buffer,1786,"ms. additions . Dog Stealers, who kill those Dogs not advertised for, sell their Skins, & feed the remaining Dogs with their flesh",1823,,dog
1920s+,"[{'@first': 'yes', 'date': '1934', 'aut': 'T. Wood', 'tit': 'Cobbers', 'num': '144', '#text': '[footnote] Because the ‘dog-cart’ removes him to a place of detention'}, {'date': '1965', 'aut': 'W. Dick', 'tit': 'Bunch of Ratbags', 'num': '76', '#text': 'Crikey, this is orright, ridin’ in the dog-cart and in the front, too. If the boys could only see us now, eh, Laurie?'}]",a police car,compound,dogcart,1934,[footnote] Because the ‘dog-cart’ removes him to a place of detention,1965,"Crikey, this is orright, ridin’ in the dog-cart and in the front, too. If the boys could only see us now, eh, Laurie?",dog
