chrlbl,citations,definition,part_of_speech,word,first_citation_date,first_citation_text,last_citation_date,last_citation_text,family
mid-19C-1920s,"[{'@class': 'new', '@first': 'yes', 'date': '1873', 'aut': 'Hotten', 'tit': 'Sl. Dict.', 'num': '120', '#text': 'Clock, a watch, Watches are also distinguished by the terms ‘red clock,’ a gold watch and ‘white clock,’ a silver watch. Generally modified into ‘red ’un’ and ‘white ’un’'}, {'date': '1896', 'aut': 'A. Morrison', 'tit': 'Child of the Jago', 'edn': '1982', 'num': '58', '#text': 'I done a click! I got a clock — a red ’un!'}, {'@class': 'new', 'date': '1924', 'aut': 'E. Pugh', 'tit': 'Advertiser', 'num': '24/8', '#text': 'in (Adelaide) 12 Apr. ‘Red clock and slang’ means gold watch and chain'}, {'@class': 'new16', 'date': '1928', 'tit': 'Framlingham Wkly News', 'num': '3/7', '#text': '8 Dec. Thieves’ Dialect [...] ‘Red clock and slang,’ gold watch and chain'}, {'@class': 'new16', 'date': '1936', 'tit': 'Framlingham Wkly News', 'num': '2/6', '#text': '4 Jan. The lingo of Cockney criminals [...] ‘red clock and slang’'}]","a gold watch, thus , a gold watch and chain",compound,red clock,1873,"Clock, a watch, Watches are also distinguished by the terms ‘red clock,’ a gold watch and ‘white clock,’ a silver watch. Generally modified into ‘red ’un’ and ‘white ’un’",1936,4 Jan. The lingo of Cockney criminals [...] ‘red clock and slang’,red
late 19C,"{'@class': 'new', '@first': 'yes', 'date': '1904', 'tit': 'Sun', 'num': '29/4', '#text': '(NY) 10 July Here is a genuine letter written in thieves’ slang, recently found by the English police [...] We must get a thimble fakir to christen and church the red jacks'}",a gold watch,compound,red jack,1904,"(NY) 10 July Here is a genuine letter written in thieves’ slang, recently found by the English police [...] We must get a thimble fakir to christen and church the red jacks",1904,"(NY) 10 July Here is a genuine letter written in thieves’ slang, recently found by the English police [...] We must get a thimble fakir to christen and church the red jacks",red
late 19C,"[{'@class': 'new18A', '@first': 'yes', 'date': '1871', 'tit': 'Leinster Indep.', 'num': '4/3', 'i': ['working', 'mag’s-man', 'red slang', 'red jerry'], '#text': '30 Sept. ‘I was one night  with a ,’ said the light-fingered gentleman [...] ‘About half-past twelve I saw a man with a white waistcoast, decorated with a  (chain) attached to a  (gold watch)’'}, {'date': '1885', 'aut': 'M. Davitt', 'tit': 'Leaves from a Prison Diary', 'num': '119', '#text': 'I They very often move in gangs, surrounding a man who may be ‘sporting a red jerry’ (a ‘loud’ exhibition of gold guard) and snatch his watch'}, {'@class': 'new19B', 'date': '1901', 'tit': 'Argus', 'num': '6/4', '#text': '(Melbourne) 20 Sept. The red ’un is a gold watch, the white ’un only silver, while a gold chain is a red jerry, and the seals danglers or onions'}]",a gold watch or watch chain,compound,red jerry,1871,"30 Sept. ‘I was one night  with a ,’ said the light-fingered gentleman [...] ‘About half-past twelve I saw a man with a white waistcoast, decorated with a  (chain) attached to a  (gold watch)’",1901,"(Melbourne) 20 Sept. The red ’un is a gold watch, the white ’un only silver, while a gold chain is a red jerry, and the seals danglers or onions",red
late 19C,"[{'@class': 'new16', '@first': 'yes', 'date': '1894', 'tit': 'Manchester Courier', 'num': '6/3', '#text': '24 Feb. At the police station Finney said, ‘We were after a red lot’ (meaning a gold watch and chain)'}, {'date': '1901', 'aut': 'W.S. Walker', 'tit': 'In the Blood', 'num': '158', '#text': 'I went round a few rooms while the people were asleep. ‘Thimble and slang,’ ‘red lot’ and ‘white lot’ were my reward'}, {'date': '1905', 'tit': 'Hackney Gazette', 'num': '3', '#text': '15 Sept. Here comes the German with a red lot'}, {'@class': 'new16', 'date': '1914', 'tit': 'Gloucs. Echo', 'num': '6/5', 'i': 'sic', '#text': '25 Feb. In thieves’ backslang [] ‘white horse ’ means silver goods, ‘red lot’ gold goods, ‘elephants’ diamonds [...] and ‘groney’ ring'}, {'@class': 'new17C', 'date': '1923', 'tit': 'Smith’s Wkly', 'num': '15/2', '#text': '(Sydney) 11 Aug. Pa’s prop, fawney and red lot are in the top right-hand drawer of the Duchess'}, {'@class': 'N331', 'date': '1924', 'aut': 'G.H. Lawson', 'tit': 'Dict. of Aus. Words And Terms', '#text': '[Internet] RED LOT — Gold watch and chain'}, {'date': '1936', 'aut': 'H. Corey', 'tit': 'Farewell, Mr Gangster!', 'num': '280', '#text': 'Slang used by English criminals [...] A red lot – gold watch and chain'}, {'date': '1946', 'aut': 'S. Jackson', 'tit': 'Indiscreet Guide to Soho', 'num': '118', '#text': 'Those who value their ‘red lots’ (gold watches)'}]","a gold watch and chain, thus gold in general ( cite 1914)",compound,red lot,1894,"24 Feb. At the police station Finney said, ‘We were after a red lot’ (meaning a gold watch and chain)",1946,Those who value their ‘red lots’ (gold watches),red
early 17C,"{'@first': 'yes', 'date': '1617', 'aut': 'Fletcher', 'tit': 'Mad Lover', 'num': 'V iv', '#text': 'There’s a red rogue, to buy thee handkerchiefs'}",a gold coin,compound,red rogue,1617,"There’s a red rogue, to buy thee handkerchiefs",1617,"There’s a red rogue, to buy thee handkerchiefs",red
1900s,"{'@class': 'new18A', '@first': 'yes', 'date': '1900', 'tit': 'Illus. Police News', 'num': '10/2', '#text': '15 Dec. I have sent you a few things [...] two R. S. (red-shells — gold watch-cases without the works), two W. K. (white kettles — silver watches), small R. P. K. (red plated kettle-gold-plated watch) [...] three ‘spark’ (diamond) rings, a pearl ‘prop’ (pin), a few odds and ends'}",a gold watch case (the works having been removed),compound,red shell,1900,"15 Dec. I have sent you a few things [...] two R. S. (red-shells — gold watch-cases without the works), two W. K. (white kettles — silver watches), small R. P. K. (red plated kettle-gold-plated watch) [...] three ‘spark’ (diamond) rings, a pearl ‘prop’ (pin), a few odds and ends",1900,"15 Dec. I have sent you a few things [...] two R. S. (red-shells — gold watch-cases without the works), two W. K. (white kettles — silver watches), small R. P. K. (red plated kettle-gold-plated watch) [...] three ‘spark’ (diamond) rings, a pearl ‘prop’ (pin), a few odds and ends",red
mid-19C–1910s,"[{'@class': 'new', '@first': 'yes', 'date': '1868', 'tit': 'Law Jrnl', 'num': '84/1', '#text': 'letter 30 Jan. in NS 37 1 Red Case [...] 1 Red Slang'}, {'@class': 'new18A', 'date': '1871', 'tit': 'Leinster Indep.', 'num': '4/3', 'i': ['working', 'mag’s-man', 'red slang', 'red jerry'], '#text': '30 Sept. ‘I was one night  with a ,’ said the light-fingered gentleman [...] ‘About half-past twelve I saw a man with a white waistcoat, decorated with a  (chain) attached to a  (gold watch)’'}, {'date': '1884', 'tit': 'Wkly Freeman’s Jrnl', 'num': '7/6', '#text': '20 Dec. I was jogging down a blooming slum in the Chapel when I butted a reeler who was sporting a red slang. I broke off his jerry and boned the clock'}, {'date': '1914', 'tit': 'Wash. Post', 'num': '3/4', '#text': '11 Nov. Misc. A watch [...] may be called a ‘block’ or a ‘turnip’ or a ‘kettle,’ while the chain is either a ‘white slang’ or a ‘red slang.’'}, {'date': '1949', 'aut': 'Monteleone', 'tit': 'Criminal Sl.', 'edn': 'rev. edn'}]",a gold watch chain,compound,red slang,1868,letter 30 Jan. in NS 37 1 Red Case [...] 1 Red Slang,1949,,red
1900s–20s,"[{'@first': 'yes', 'date': '1903', 'aut': 'A. Binstead', 'tit': 'Pitcher in Paradise', 'num': '183', '#text': 'He [...] turned up in the club nearly every night an’ never seemed at all short o’ the red stuff'}, {'date': '1920', 'aut': 'Ade', 'tit': 'Hand-made Fables', 'num': '60', '#text': 'He could side-step the Red Stuff'}]","money, presumably golden sovereigns",compound,red stuff,1903,He [...] turned up in the club nearly every night an’ never seemed at all short o’ the red stuff,1920,He could side-step the Red Stuff,red
1920s+,"[{'@class': 'new', '@first': 'yes', 'date': '1923', 'tit': 'Hull Dly Mail', 'num': '8/5', '#text': '24 Sept. Asked by Inspector Stott what he meant by the ‘red’ stuff, Smith said, ‘I mean jewellry, not gold. When I’m on a job I go for the “red” stuff’'}, {'date': '1926', 'aut': 'N. Lucas', 'tit': 'London and its Criminals', 'num': '159', '#text': 'There are ‘fences’ who deal in nothing but ‘red stuff’ (jewellery) and plate'}, {'@class': 'new ire', 'date': '1930', 'tit': 'Eve. Herald', 'num': '4/6', '#text': '(Dublin) 9 Dec. ‘Red stuff’ is a miscellaneous collection of gold jewellery'}, {'date': '1930', 'con': '1910–20s', 'aut': 'D. Mackenzie', 'tit': 'Hell’s Kitchen', 'num': '120', '#text': 'Red stuff ... gold'}, {'date': '1936', 'aut': 'J. Curtis', 'tit': 'Gilt Kid', 'num': '23', '#text': 'Got a bit of stuff hanging around her drum she has. Red stuff, jewellery, furs and the ready. She keeps the dough under the carpet in her bedroom'}, {'date': '1941', 'aut': 'V. Davis', 'tit': 'Phenomena in Crime', 'num': '253', '#text': 'Red stuff. Gold'}, {'date': '1956', 'aut': '‘Charles Raven’', 'tit': 'Und. Nights', 'num': '169', '#text': 'Quite a bit of ‘red stuff’ (gold), all old-fashioned and rather heavy'}, {'date': '1977', 'aut': 'D. Powis', 'tit': 'Signs of Crime', 'num': '198', '#text': 'Red stuff Gold'}]",gold; esp. jewellery,compound,red stuff,1923,"24 Sept. Asked by Inspector Stott what he meant by the ‘red’ stuff, Smith said, ‘I mean jewellry, not gold. When I’m on a job I go for the “red” stuff’",1977,Red stuff Gold,red
mid-19C–1950s,"[{'@first': 'yes', 'date': '1859', 'aut': 'Matsell', 'tit': 'Vocabulum', 'num': '73', 'scaps': 'red super', '#text': 'A gold watch'}, {'@class': 'new18C', 'date': '1867', 'tit': 'Nat. Police Gaz.', 'num': 'n.p.', '#text': '(NY) 21 Sept. He had appropriated the cases to his own use, and ‘fenced the red supers’'}, {'date': '1952', 'aut': 'C. Hamilton', 'tit': 'Men of the Und.', 'num': '324', 'i': 'Red super', '#text': ', A gold watch'}]",a gold watch,compound,red super,1859,A gold watch,1952,", A gold watch",red
late 19C–1930s,"[{'@first': 'yes', 'date': '1879', 'tit': 'Macmillan’s Mag.', 'num': '502', '#text': '‘Autobiog. of a Thief’ in  (London) XL One day I went to Croydon and touched for a red toy (gold watch) and red tackle (gold chain) with a large locket'}, {'date': '1887', 'aut': '‘Dagonet’', 'tit': 'Referee', 'num': 'n.p.', '#text': '‘A Plank Bed Ballad’ in  12 Feb. One day I’d a spree with two finns in my brigh, / And a toy and a tackle – both red ’uns'}, {'@class': 'new', 'date': '1889', 'aut': 'Barrère', 'tit': 'Argot', 'num': '54/1', '#text': 'Bridaukil (thieves’), gold watch chain, ‘redge slang,""’or ‘red tackle’'}, {'date': '1931', 'tit': 'Variety', 'num': 'n.p.', '#text': '‘English Und. Sl.’ in  8 Apr. Red tackle—Gold chain'}]",a gold chain,compound,red tackle,1879,‘Autobiog. of a Thief’ in  (London) XL One day I went to Croydon and touched for a red toy (gold watch) and red tackle (gold chain) with a large locket,1931,‘English Und. Sl.’ in  8 Apr. Red tackle—Gold chain,red
late 19C–1930s,"[{'@first': 'yes', 'date': '1879', 'tit': 'Macmillan’s Mag.', 'num': '502', '#text': '‘Autobiog. of a Thief’ in  (London) XL One day I went to Croydon and touched for a red toy (gold watch) and red tackle (gold chain) with a large locket'}, {'@class': 'new16', 'date': '1885', 'tit': 'Aberdeen Peoples’ Jrnl', 'num': '3/4', '#text': '5 Dec. ‘You see [...] picking pockets [...] I generally got two or three “red kettles” a week’'}, {'date': '1887', 'aut': '‘Dagonet’', 'tit': 'Referee', 'num': 'n.p.', '#text': '‘A Plank Bed Ballad ’ (in  12 Feb.) One day I’d a spree with two finns in my brigh, / And a toy and a tackle – both red ’uns'}, {'date': '1913', 'aut': 'Van Loan', 'tit': 'Lucky Seventh', 'edn': '2004', 'num': '215', '#text': '‘For Revenue Only’ in ‘What watch?’ he repeated [...] ‘Look for yourself. “Home run, Boyle.” That’s me, and now kick in with the red kettle.’'}, {'date': '1937', 'aut': 'J. Curtis', 'tit': 'You’re in the Racket, Too', 'num': '119', '#text': '‘Well, these here red kettles,’ Snowey pointed to the watches'}, {'date': '1949', 'aut': 'Monteleone', 'tit': 'Criminal Sl.', 'edn': 'rev. edn'}]",a gold watch,compound,red toy,1879,‘Autobiog. of a Thief’ in  (London) XL One day I went to Croydon and touched for a red toy (gold watch) and red tackle (gold chain) with a large locket,1949,,red
late 19C–1900s,"[{'@class': 'new17B', '@first': 'yes', 'date': '1886', 'tit': 'Sporting Times', 'num': '1/5', '#text': '24 Apr. We trust all good Pink ’Uns will continue to shell out the red ’uns for this deserving case'}, {'date': '1890', 'tit': 'Sporting Times', 'num': '5/5', '#text': '25 Jan. If we only had a couple of red ’uns, [...] we might dine'}, {'@class': 'new18A', 'date': '1905', 'tit': 'Illus. Police News', 'num': '6/4', '#text': '30 Dec. [A] smartish hotel where you yourself well / For couple of red ’uns a day'}]","a gold coin, a sovereign",compound,red ’un,1886,24 Apr. We trust all good Pink ’Uns will continue to shell out the red ’uns for this deserving case,1905,30 Dec. [A] smartish hotel where you yourself well / For couple of red ’uns a day,red
late 19C–1930s,"[{'@first': 'yes', 'date': '1873', 'tit': 'Sl. Dict.', 'num': '268', 'scaps': 'Red un', '#text': 'a gold watch'}, {'date': '1887', 'aut': '‘Dagonet’', 'tit': 'Referee', 'num': 'n.p.', '#text': '‘A Plank Bed Ballad ’ in  12 Feb. One day I’d a spree with two finns in my brigh, / And a toy and a tackle – both red ’uns'}, {'@class': 'new19B', 'date': '1901', 'tit': 'Argus', 'num': '6/4', '#text': '(Melbourne) 20 Sept. The red ’un is a gold watch, the white ’un only silver, while a gold chain is a red jerry, and the seals danglers or onions'}, {'date': '1901', 'tit': 'Daily Tel.', 'num': '5', 'org': 'F&H', '#text': '14 May 11 You just now alluded to your watch as a red ’un. – Cooper: I did. And then you explained that ‘red-’un’ was thieves slang. – So it is'}, {'date': '1931', 'tit': 'Variety', 'num': 'n.p.', '#text': '‘English Und. Sl.’ in  8 Apr. Red thing—Gold watch'}]",a gold watch,compound,red ’un,1873,a gold watch,1931,‘English Und. Sl.’ in  8 Apr. Red thing—Gold watch,red
,"[{'@first': 'yes', 'date': '1914', 'tit': 'Bulletin', 'num': '45/2', '#text': '(Sydney) 16 July The Maoriland Federation of Labor (the Red Feds.) has received another wallop'}, {'@class': 'new', 'date': '1914', 'tit': 'Eve. Post', 'num': '8/6', '#text': '(Wellington) 17 Apr. One of the principle arguments used by the Red Feds against Mr M’Laren [...] is that he sat on a rail during the late strike'}, {'date': '1920', 'tit': 'N.Z. Free Lance', 'num': '45', 'org': 'DNZE', '#text': '(Wellington) 1 Dec. (Xmas Annual) The aviator pinned the tribute to the breast of the Right Honourable R. Fedd. ‘He died for a principle!’'}, {'date': '1947', 'aut': 'D. Davin', 'tit': 'For the Rest of Our Lives', 'num': '102', '#text': 'Who cares if he is a red-fed? I’ve gone a bit bolshy myself after some of the ballsups I’ve seen out here'}, {'date': '1959', 'tit': 'Star', 'num': '2', 'org': 'DNZE', '#text': '(Christchurch) 9 Mar. I have always prided myself on my British descent and our fair play and am not a Redfed, but I admire the natives for kicking over the traces and striking on this account'}, {'date': '1965', 'con': '1930s', 'aut': 'N. Hilliard', 'tit': 'Power of Joy', 'num': '213', '#text': 'To the well-off it seemed that all who worked for wages were dolies or red-feds'}, {'date': '1970', 'aut': 'D. Davin', 'tit': 'Not Here Not Now', 'num': '280', '#text': 'He sounded a bit of a red-fed, though. No time for Baldwin or any of that lot over in England'}, {'date': '1988', 'aut': 'McGill', 'tit': 'Dict. of Kiwi Sl.', 'num': '92/2', 'b': 'Red Fed', '#text': 'member of the Federation of Labour, perceived as a Communist agitator by conservatives or cynical seekers of political advantage'}, {'date': '1992', 'aut': 'F. Farrell', 'tit': 'Skinny Louie Book', 'num': '58', 'org': 'DNZE', '#text': 'Nancy-boy [...] was of the opinion that the country’s salvation had lain with Campbell Begg and not some ex-Red Fed'}, {'date': '2003', 'aut': 'McGill', 'tit': 'Reed Dict. of N.Z. Sl.', 'num': '172', '#text': 'red-fed Left-wing agitator or somebody who is difficult about workplace conditions'}]","a left-winger, an agitator, a militant",compound,red fed,1914,(Sydney) 16 July The Maoriland Federation of Labor (the Red Feds.) has received another wallop,2003,red-fed Left-wing agitator or somebody who is difficult about workplace conditions,red
,"[{'@first': 'yes', 'date': '1917', 'tit': 'N.Z. Free Lance', 'num': '6', 'org': 'DNZE', '#text': '(Wellington) 30 Mar. Mr Webb’s interference in municipal elections is on behalf of the ‘Labour’--otherwise the Red Fed-ticket'}, {'date': '1920', 'tit': 'N.Z. Free Lance', 'num': '8', 'org': 'DNZE', '#text': '(Wellington) 6 Jan. When the Red Fed candidates came before the electors last December, they included quite a number of the ‘radish’ fraternity'}, {'date': '1956', 'aut': 'D. Davin', 'tit': 'Sullen Bell', 'num': '59', '#text': '‘Isn’t that the red-fed lawyer?’ Hugh laughed at him, at the combination of respect for a headline name and honour of political notoriety'}, {'date': '1963', 'aut': 'F.M. McKay', 'tit': 'Baxter', 'edn': '1990', 'num': '195', 'org': 'DNZE', '#text': 'letter in It is not ‘Marxist’ or ‘Red-fed’–it is a certain kind of love'}, {'date': '1978', 'aut': 'J.H. Sutherland', 'tit': 'Elver', 'num': '44', 'org': 'DNZE', '#text': 'When it comes to the pinch you can trust the New Zealander. We don’t go for these red-fed ideas here'}]","attrib. use of sense 1, left-wing, ‘socialist’",compound,red fed,1917,(Wellington) 30 Mar. Mr Webb’s interference in municipal elections is on behalf of the ‘Labour’--otherwise the Red Fed-ticket,1978,When it comes to the pinch you can trust the New Zealander. We don’t go for these red-fed ideas here,red
1940s+,"{'@first': 'yes', 'date': '1942', 'aut': 'Berrey & Van den Bark', 'tit': 'Amer. Thes. Sl.'}","Communist Russia, the USSR",compound,Redland,1942,,1942,,red
1930s–60s,"[{'@class': 'new', '@first': 'yes', 'date': '1934', 'tit': 'Townsville Daily Bulletin', 'num': '10/4', '#text': '(Qld) 1 Mar. I chops the red-back out in three days. Livin’ on revivers for a couple of days'}, {'date': '1959', 'aut': 'Baker', 'tit': 'Drum'}, {'@class': 'new', 'date': '2013', 'aut': 'T. Peacock', 'tit': 'More You Bet', 'num': '66', '#text': 'The ‘$20 note’ is known a ‘red-back’, after the spider, or as a ‘lobster’, or a ‘lobby’ for short, due to colour of a $20 note resembling that of a boiled lobster'}]",a £10 note,compound,red ’Arry,1934,(Qld) 1 Mar. I chops the red-back out in three days. Livin’ on revivers for a couple of days,2013,"The ‘$20 note’ is known a ‘red-back’, after the spider, or as a ‘lobster’, or a ‘lobby’ for short, due to colour of a $20 note resembling that of a boiled lobster",red
20C+,"[{'@class': 'new16', '@first': 'yes', 'date': '1905', 'tit': 'Brownsville Dly Herald', 'num': '1/4', '#text': '22 Nov. A section of a red ball freight got to the top of Glorietta Pass'}, {'@class': 'new16', 'date': '1907', 'tit': 'Topeka Star', 'num': '6/2', '#text': '(KS) 31 July Perishable goods and other fvreight which require quick shipment are known as redball freight'}, {'@class': 'new16', 'date': '1912', 'tit': 'Iron Co. Register', 'num': '5/4', '#text': '4 Apr. ‘Red ball’ is [a] fast freight'}, {'date': '1926', 'aut': 'Odum & Johnson', 'tit': 'Negro Workaday Songs', 'num': '132', '#text': 'Lawd, lissen, I believe I go to town / An’ ketch the Red Ball'}, {'@class': 'N331', 'date': '1927', 'aut': 'C. Samolar', 'tit': 'AS', 'num': '388', 'i': ['red balls', 'cannon balls', 'hot-shots'], '#text': '‘Argot of the Vagabond’ in  II:9 Fast freights are known as , ,'}, {'date': '1930', 'aut': 'G. Milburn', 'tit': 'Hobo’s Hornbook', 'num': '75', '#text': '‘The Hobo’s Last Lament’ in For I have flipped a red-ball freight, / I’ll ride it straight on through'}, {'@class': 'N331', 'date': '1930', 'aut': 'G. Milburn', 'tit': 'Hobo’s Hornbook', 'num': '244', '#text': '‘Flipping a Freight’ in The Red Ball’s throaty whistle / Booms its way across the plain'}, {'date': '1935', 'aut': 'J. Conroy', 'tit': 'World to Win', 'num': '56', '#text': 'He [...] thought bitterly of saying to hell with you, Dudley, and walking out of the room, catching a Red Ball for the Coast, and never coming back'}, {'@class': 'N331', 'date': '1936', 'aut': 'Mencken', 'tit': 'Amer. Lang.', 'edn': '4th edn', 'num': '582', 'i': ['manifest', 'red-ball'], '#text': 'In the days before hitch-hiking, hoboes spent a great deal of their time stealing rides on the railroads, and their railroad vocabulary remains rich and racy. [...] a fast freight is a  or'}, {'ante': '1940', 'aut': 'D. Wepman', 'tit': 'Life', 'edn': '1976', 'num': '114', '#text': '‘Wise Egg’ in  et al. I’d [...] Tapped spikes beside the spics, / And caught redball freights on the fly'}, {'date': '1945', 'aut': 'F.H. Hubbard', 'tit': 'Railroad Avenue', 'num': '2', '#text': '‘Redball’ is a fast freight'}, {'date': '1964', 'aut': 'J. Thompson', 'tit': ['Pop. 1280', 'Four Novels'], 'edn': '1983', 'num': '390', '#text': 'in Ken [...] caught the Red Ball freight to Pottsville'}, {'@class': 'N331', 'date': '1966', 'aut': 'B. Jackson', 'tit': 'Get Your Ass in the Water', 'edn': '1974', 'num': '71', '#text': 'I’ve toted a pack down a B and O track / hopped redball freights on the fly'}, {'date': '1991', 'con': '1920s', 'aut': 'O.D. Brooks', 'tit': 'Legs', 'num': '6', '#text': 'You don’t piss around with way freights. You ride redballs'}]",a fast freight train,compound,redball,1905,22 Nov. A section of a red ball freight got to the top of Glorietta Pass,1991,You don’t piss around with way freights. You ride redballs,red
early 17C,"{'@first': 'yes', 'date': '1607', 'aut': 'Dekker & Webster', 'tit': 'Northward Hoe', 'num': 'III i', '#text': 'White haires may fall into the company of drabs as well as red beardes into the society of knaues'}","a watchman, a constable, poss. a young man",compound,red beard,1607,White haires may fall into the company of drabs as well as red beardes into the society of knaues,1607,White haires may fall into the company of drabs as well as red beardes into the society of knaues,red
