chrlbl,citations,definition,part_of_speech,word,first_citation_date,first_citation_text,last_citation_date,last_citation_text,family
late 19C–1910s,"[{'@first': 'yes', 'circa': '1580', 'aut': 'Polwart', 'tit': 'Invectiues Capitane Allexander Montgomeree and Pollvart', 'src': 'Parkinson', 'edn': ['Poems', '2000'], 'num': '58', '#text': 'in  IX line Iok Blunt, thrawin frunt, kis the cunt of ane kow'}, {'@class': 'new', 'date': '1887', 'tit': 'Worcs. Chron.', 'num': '3/1', '#text': '24 Sept. Jack Blunt once loved a maid whose with terracotta might compare. ‘My heart beats for you,’ he said. ‘No matter if your hair is red.’ [...] And he got left.'}, {'@class': 'uk', 'date': '1898', 'tit': 'Daily News', 'num': '5/4', '#text': '17 Nov. He was at once a Jack Blunt and equal to a trick'}]",a blunt person,compound,jack blunt,1580,"in  IX line Iok Blunt, thrawin frunt, kis the cunt of ane kow",1898,17 Nov. He was at once a Jack Blunt and equal to a trick,jack
early 19C,"[{'@class': 'uk', '@first': 'yes', 'date': '1803', 'tit': 'Censor', 'num': '31', 'org': 'OED', '#text': '1 Mar. Six-pence to the chamber-maid, six-pence to the ostler, and six-pence to the jack-boot'}, {'@class': 'new uk', 'date': '1823', 'tit': 'Newcastle Mag.', 'num': '128/1', '#text': 'Mar. We call him ‘Boots’, and from the habit of giving a common Christian name to all persons who attend in inns[...] Jack Boots, by which appellation he yet goes amongst old travellers'}, {'@class': 'new uk', 'date': '1827', 'tit': 'Truthteller', 'num': '202', '#text': ""10 Nov. The person who refused to admit me on that day,'was no other than a waiter, or jack boots, at the tavern""}]",the ‘boots’ or bootboy at an inn,compound,jack boots,1803,"1 Mar. Six-pence to the chamber-maid, six-pence to the ostler, and six-pence to the jack-boot",1827,"10 Nov. The person who refused to admit me on that day,'was no other than a waiter, or jack boots, at the tavern",jack
mid–late 16C,"[{'@first': 'yes', 'date': '1568', 'aut': 'J. Withals', 'tit': 'Dictionarie in Eng. and Latine', 'num': 'n.p.', 'i': 'Jack Bragger', '#text': 'and his fellow, [...] a Cracker'}, {'@class': 'new', 'date': '1837', 'tit': 'Morn. Chron.', 'num': '6/6', '#text': '(London) 15 May Our readers are probably acquainted with the character of Mr Hook’s ‘Jack Brag’'}, {'@class': 'new', 'date': '1847', 'tit': 'Devizes & Wilts. Gaz.', 'num': '4/2', '#text': '30 Mar. Jack Brag [...] is the Parolles or Boabdil of low life [...] By sheer effrontery, tricks, and lying he is enabled to mix with persons in a higher sphere'}]","a boaster, a braggart",compound,jack bragger,1568,"and his fellow, [...] a Cracker",1847,"30 Mar. Jack Brag [...] is the Parolles or Boabdil of low life [...] By sheer effrontery, tricks, and lying he is enabled to mix with persons in a higher sphere",jack
late 18C–mid-19C,"[{'@first': 'yes', 'ante': '1790', 'aut': 'H.T. Potter', 'tit': 'New Dict. Cant', 'edn': '1795', 'num': 'n.p.', 'scaps': 'jake cove', '#text': 'a dirty fellow, an impudent landlord'}, {'date': '1809', 'aut': 'G. Andrewes', 'tit': 'Dict. Sl. and Cant', 'num': 'n.p.', 'scaps': 'jack cove', '#text': 'a dirty fellow'}, {'date': '1821', 'tit': 'Flash Dict.'}, {'date': '1835', 'aut': 'G. Kent', 'tit': 'Modern Flash Dict.'}, {'date': '1848', 'tit': ['Flash Dict.', 'Sinks of London Laid Open'], '#text': 'in'}, {'circa': '1850', 'aut': 'Duncombe', 'tit': 'New and Improved Flash Dict.'}, {'date': '1859', 'aut': 'Matsell', 'tit': 'Vocabulum'}]","a dirty, contemptible man",compound,jack cove,1790,"a dirty fellow, an impudent landlord",1859,,jack
17C,"[{'@first': 'yes', 'circa': '1386', 'aut': 'Chaucer', 'tit': 'Miller’s Tale', 'num': '3708', '#text': 'line Go fro the window, Iakke fool'}, {'date': '1617', 'aut': 'J. Taylor', 'tit': 'Works', 'edn': '1869', 'num': '113', 'i': ['Iacke', 'Iacke Drum', 'Jack Dog', 'Jack Dale', 'Jack Fool', 'Jack-a-Dandy'], '#text': '‘Iacke a Lent’ in  I To praise the Turnspit  my Muse is mum, / Nor the entertainment of  [...] Nor of ,  /  or  I relate'}, {'@class': 'new', 'date': '1842', 'tit': 'Cork Examiner', 'num': '2/5', '#text': '30 Dec. John Collins, a well-known character, better known by the soubriquet of ‘Jack the Fool’'}, {'@class': 'new', 'date': '1903', 'tit': 'Lincs. Chron.', 'num': '3/4', '#text': ""25 Aug. You may sweat, you may growl, you may grunt' you may be a jack-fool if you must [...] but don’t take your troubles to bed""}]",a foolish person,compound,jack fool,1386,"line Go fro the window, Iakke fool",1903,"25 Aug. You may sweat, you may growl, you may grunt' you may be a jack-fool if you must [...] but don’t take your troubles to bed",jack
late 17C–18C,"[{'@class': 'new uk', '@first': 'yes', 'date': '1651', 'aut': 'W. Lilly', 'tit': 'Monarchy or No Monarchy', 'num': '100', 'i': ['Arts', 'Minister', 'Jack Gentleman'], '#text': 'This fellow [...] sayd openly , he hoped to live and see the time , when a Mr. of  or a , should be as good a man as any  in England'}, {'@class': 'uk', 'date': '1667', 'tit': 'Answer to the Question out of North', 'num': '13', 'org': 'OED', '#text': 'What, Sir, do you think that it is fit for every Jack-Gentleman to speak thus to a Bishop?'}, {'date': '1673', 'aut': 'S. Parker', 'tit': 'Reproof to Rehearsal Transposed', 'num': '480', 'i': 'Jack Gentlemen', '#text': 'Such (especially if they are broken Gamesters) I still say are no better than'}, {'@class': 'uk', 'date': '1710', 'tit': 'Answer to Sacheverell’s Sermon', 'num': '9', 'i': 'Charles', '#text': 'In the time of King  [...] they despised the Gentry at such a rate, that it was a common thing to call them Jack Gentleman'}, {'@class': 'new uk', 'date': '1719', 'aut': 'T. Gordon', 'tit': 'Character of an Indep. Whig', 'num': '6', 'i': ""Time, when ne'er a Jack Gentleman in England would dare to stand before a Parson with his Hat on"", '#text': 'This upstart, plebeian Priest, hoped to see the'}]","a man of low birth or manners who has pretensions to be a gentleman, an insolent fellow, an upstart",compound,jack gentleman,1651,"This fellow [...] sayd openly , he hoped to live and see the time , when a Mr. of  or a , should be as good a man as any  in England",1719,"This upstart, plebeian Priest, hoped to see the",jack
late 18C,"{'@first': 'yes', 'date': '1786', 'aut': '‘Peter Pindar’', 'tit': 'Works', 'edn': '1794', 'num': 'I 438', 'i': 'me', '#text': '‘Ode Upon Ode’ No galloping horse-godmothers for  [...] Yet men there are (how strange are Love’s decrees!) Whose palates e’en Jack-Gentlewomen please'}",a large masculine woman,compound,jack gentlewoman,1786,‘Ode Upon Ode’ No galloping horse-godmothers for  [...] Yet men there are (how strange are Love’s decrees!) Whose palates e’en Jack-Gentlewomen please,1786,‘Ode Upon Ode’ No galloping horse-godmothers for  [...] Yet men there are (how strange are Love’s decrees!) Whose palates e’en Jack-Gentlewomen please,jack
mid-17C,"[{'@class': 'new18C', '@first': 'yes', 'date': '1654', 'tit': 'New Brawle', 'num': '13', 'i': ['Bess', 'Bobbing Kate'], '#text': 'Prether tell me Jack Hold-my Staffe, did cripple-breech’d  wash it, or'}, {'@class': 'new18C', 'date': '1678', 'aut': 'Behn', 'tit': 'Sir Patient Fancy', 'num': 'V i', 'i': ['John-a-Nokes', 'Jack-hold-my-staff', 'Merry Andrew'], '#text': 'Madam, in plain English, I am made a  of, , a'}]",a fool,compound,jack-hold-my-staff,1654,"Prether tell me Jack Hold-my Staffe, did cripple-breech’d  wash it, or",1678,"Madam, in plain English, I am made a  of, , a",jack
20C+,"{'@first': 'yes', 'circa': '1940–5', 'aut': '‘Myles na gCopaleen’', 'tit': 'Best of Myles', 'edn': '1968', 'num': '50', '#text': 'Between yourself, meself and Jack Mum, Charley is a little bit given to the glawsheen'}",a discreet person; esp. in the phr.,compound,jack mum,1940,"Between yourself, meself and Jack Mum, Charley is a little bit given to the glawsheen",1940,"Between yourself, meself and Jack Mum, Charley is a little bit given to the glawsheen",jack
mid–late 19C,"[{'@class': 'new', '@first': 'yes', 'date': '1854', 'tit': 'Western Times', 'num': '8/1', '#text': '25 Feb. Draw sinners from the seat where sits the scorner, / And turn jack Nasty to a nice Jack Horner'}, {'@first': 'yes', 'date': '1857', 'aut': 'T. Hughes', 'tit': 'Tom Brown’s School-Days', 'num': '67', '#text': 'Tom [...] went on playing with the village boys, without the idea of equality or inequality [...] ever entering their heads, as it doesn’t till it’s put there by Jack Nastys or fine ladies’ maids'}, {'@class': 'new', 'date': '1870', 'tit': 'Sheffield Indep.', 'num': '3/6', '#text': '2 July Every youngster with a spare pound or two in his pocket must have his valet or other Jack Nasty fiddling after him'}, {'date': '1890–1904', 'aut': 'Farmer & Henley', 'tit': 'Sl. and Its Analogues'}]","a sneaking, slovenly person",compound,jack nasty,1854,"25 Feb. Draw sinners from the seat where sits the scorner, / And turn jack Nasty to a nice Jack Horner",1890,,jack
