chrlbl,citations,definition,part_of_speech,word,first_citation_date,first_citation_text,last_citation_date,last_citation_text,family
None,"[{'@class': 'edited', '@first': 'yes', 'date': '1940', 'aut': 'E. O’Brien', 'tit': 'One Way Ticket', 'num': '13', '#text': 'Here we are [...] with the wind blowin’ like a bat outa hell and snow ass-deep to a tall Indian'}, {'@class': 'edited', 'date': '1956', 'aut': 'V. Fisher', 'tit': 'Pemmican', 'num': '128', '#text': 'When we invade the Athabasca we’re going to be in trouble ass deep to a moose'}, {'date': '1960', 'con': '1950', 'aut': 'R. Leckie', 'tit': 'March to Glory', 'edn': '1962', 'num': '192', '#text': 'The snow is ass-deep to a man in a jeep'}, {'@class': 'edited', 'date': '1974', 'aut': 'D. Widener', 'tit': 'N.U.K.E.E.', 'num': '153', '#text': 'Drake was now floundering around the Alaskan wilderness in snow, ass-deep to a tall moose, stuffing thermometers up the butts of wolves'}, {'@class': 'edited', 'date': '1983', 'aut': 'J.Y. Glimm', 'tit': 'Flatlanders and Ridgerunners', 'num': '23', '#text': 'The snow was ass deep to a tall Indian'}, {'@class': 'edited', 'date': '2002', 'aut': 'M. Evans', 'tit': 'Madame Millie', 'num': '147', '#text': 'Snow was ass deep to a giraffe, and the wind was blowing all the way from the North Pole'}]",very deep; usu. in such phrs. as,compound,ass deep,1940,Here we are [...] with the wind blowin’ like a bat outa hell and snow ass-deep to a tall Indian,2002,"Snow was ass deep to a giraffe, and the wind was blowing all the way from the North Pole",ass
,"[{'@first': 'yes', 'date': '1958', 'aut': 'E. Gilbert', 'tit': 'Vice Trap', 'num': '75', '#text': 'She used to be ass deep in codein [sic] and bennies'}, {'date': '1961', 'aut': 'G.L. Coon', 'tit': 'Meanwhile, Back at the Front', 'edn': '1962', 'num': '37', '#text': 'I’m going to be ass-deep in rolling heads before I’m through here'}, {'date': '1972', 'aut': 'D. Jenkins', 'tit': 'Semi-Tough', 'num': '167', '#text': '[He] is gonna get himself ass-deep in so much young Scotch that this palatial suite of ours better be able to float'}]","totally involved with, with an excessive amount of",compound,ass deep,1958,She used to be ass deep in codein [sic] and bennies,1972,[He] is gonna get himself ass-deep in so much young Scotch that this palatial suite of ours better be able to float,ass
1970s+,"[{'@class': 'edited', '@first': 'yes', 'date': '1971', 'aut': 'T. Witmore', 'tit': 'Memphis-Nam-Sweden', 'num': '59', '#text': 'That was too much for a bunch of starving, combat-beat-to-the-ass-dragging grunts'}, {'date': '1993', 'aut': 'J. Mowry', 'tit': 'Six Out Seven', 'edn': '1994', 'num': '453', '#text': 'Ass-draggin stationwagon, but it kinda give ’em class'}]","run-down, worn out",compound,ass-dragging,1971,"That was too much for a bunch of starving, combat-beat-to-the-ass-dragging grunts",1993,"Ass-draggin stationwagon, but it kinda give ’em class",ass
1960s,"{'@first': 'yes', 'date': '1967', 'tit': 'DARE', '#text': 'in  questionaire'}",head-over-heels,compound,ass-frontwards,1967,in  questionaire,1967,in  questionaire,ass
1960s–70s,"[{'@class': 'edited', '@first': 'yes', 'date': '1964', 'tit': 'Burning Water', 'num': '17', '#text': '2 It’s as if all were ass-frontwards'}, {'@class': 'edited', 'date': '1972', 'aut': 'J. Mekas', 'tit': 'Movie Jrnl', 'num': '3', '#text': 'The mutilation of Max Ophuls’ Lola Montes, cut from its original 140 minutes to 90 minutes [...] plus being twisted ass-frontwards in a frantic attempt to make it look like a conventional film'}]",back-to-front,compound,ass-frontwards,1964,2 It’s as if all were ass-frontwards,1972,"The mutilation of Max Ophuls’ Lola Montes, cut from its original 140 minutes to 90 minutes [...] plus being twisted ass-frontwards in a frantic attempt to make it look like a conventional film",ass
1960s,"{'@first': 'yes', 'date': '1965', 'aut': 'C.D. Bryan', 'tit': 'P.S. Wilkinson', 'num': '82', '#text': 'You’ll never even get a cent of your precious ass-grabbing pension!'}",irritating,compound,ass-grabbing,1965,You’ll never even get a cent of your precious ass-grabbing pension!,1965,You’ll never even get a cent of your precious ass-grabbing pension!,ass
1950s+,"[{'@first': 'yes', 'date': '1956', 'aut': 'N. Algren', 'tit': 'Walk on the Wild Side', 'num': '161', 'i': 'are', '#text': '‘How tall  you, Shorty?’ [...] ‘About ass-high to a tall Indian.’'}, {'@class': 'edited', 'date': '1961', 'aut': 'J. Hoffenberg', 'tit': 'Sow Not in Anger', 'num': '422', '#text': 'I was about ass-high to a three-foot midget, I guess'}, {'@class': 'edited', 'date': '1974', 'aut': 'T. Kidder', 'tit': 'Road to Yuba City', 'num': '265', '#text': 'A forced march over mountains covered with snow that was ‘ass-high to a tall monkey’'}, {'@class': 'edited', 'date': '1985', 'aut': 'I. Doig', 'tit': 'English Creek', 'num': '61', '#text': 'A million dollar rain, ain’t it? Brought the grass up ass-high to a tall Indian'}, {'@class': 'edited', 'date': '2006', 'aut': 'J. Larimer', 'tit': 'Pretender Lamb', 'num': '147', '#text': 'January days when the snow is ‘ass high to a giraffe’'}]",an unspecified measure of height; usu. as,compound,ass-high,1956,"‘How tall  you, Shorty?’ [...] ‘About ass-high to a tall Indian.’",2006,January days when the snow is ‘ass high to a giraffe’,ass
2000s,"{'@class': 'edited', '@first': 'yes', 'date': '2002', 'aut': 'Simon & Burns', 'tit': 'Wire', '#text': '‘The Target’ ep. 1 [TV script] What would an ass-ignorant motherfucker like you do with a computer?'}",extremely stupid,compound,ass-ignorant,2002,‘The Target’ ep. 1 [TV script] What would an ass-ignorant motherfucker like you do with a computer?,2002,‘The Target’ ep. 1 [TV script] What would an ass-ignorant motherfucker like you do with a computer?,ass
None,"[{'@first': 'yes', 'date': '1997–2001', 'tit': 'Online Sl. Dict.', '#text': '[Internet] ass out adj 2. out of luck. (‘I’m afraid that you’re just ass out.’)'}, {'date': '1999', 'aut': 'J. Ridley', 'tit': 'Everybody Smokes in Hell', 'num': '131', '#text': '‘How you know he ain’t gonna roll?’ ‘He’s ass-out.’'}]","at the end of one’s tether; beyond effort, without luck (cf. )",compound,ass-out,1997,[Internet] ass out adj 2. out of luck. (‘I’m afraid that you’re just ass out.’),1999,‘How you know he ain’t gonna roll?’ ‘He’s ass-out.’,ass
,"{'@first': 'yes', 'date': '1995', 'aut': 'L. Stavsky', 'tit': 'A2Z', 'num': '2', 'i': 'ass-out', '#text': 'et al. ass-out – straight out: The test was  easy'}","straighforward, easy",compound,ass-out,1995,et al. ass-out – straight out: The test was  easy,1995,et al. ass-out – straight out: The test was  easy,ass
,"{'@first': 'yes', 'date': '1997–2001', 'tit': 'Online Sl. Dict.', '#text': '[Internet] ass out adj 1. without money; BROKE. (‘I can’t go to the show tonight, I’m ass out.’)'}",without money,compound,ass-out,1997,"[Internet] ass out adj 1. without money; BROKE. (‘I can’t go to the show tonight, I’m ass out.’)",1997,"[Internet] ass out adj 1. without money; BROKE. (‘I can’t go to the show tonight, I’m ass out.’)",ass
1960s,"{'@first': 'yes', 'date': '1960', 'aut': 'C. Cooper Jr', 'tit': 'Scene', 'edn': '1996', 'num': '243', '#text': 'I know the Feds are doing an ass-tight job, holding the stuff down'}","in fig. use, very efficient",compound,ass-tight,1960,"I know the Feds are doing an ass-tight job, holding the stuff down",1960,"I know the Feds are doing an ass-tight job, holding the stuff down",ass
,"{'@first': 'yes', 'date': '1967', 'aut': 'P. Thomas', 'tit': 'Down These Mean Streets', 'edn': '1970', 'num': '121', 'i': 'amigos', '#text': 'The dozens is a dangerous game even among friends, and many a tooth has been lost between fine, ass-tight'}","of friends, very intimate",compound,ass-tight,1967,"The dozens is a dangerous game even among friends, and many a tooth has been lost between fine, ass-tight",1967,"The dozens is a dangerous game even among friends, and many a tooth has been lost between fine, ass-tight",ass
1990s+,"[{'@first': 'yes', 'date': '1997', 'aut': 'Simon & Burns', 'tit': 'Corner', 'edn': '1998', 'num': '121', '#text': 'R.C., your shit is ass-ugly'}, {'@class': 'edited', 'date': '1999', 'aut': 'M. Haynes', 'tit': 'Mother of Pearl', 'num': '135', '#text': 'She must be one ass-ugly woman, you wantin’ to run out so fast and all'}, {'@class': 'edited', 'date': '2010', 'aut': 'C. Cummings', 'tit': 'On Being', 'num': '11', '#text': '[He] fires you because he didn’t like the comment you made about the ass-ugly chairs he put in my office?'}, {'@class': 'edited', 'date': '2011', 'aut': 'A. Dante', 'tit': 'La Faiglia Bianco', 'num': '363', '#text': 'You better dump that fat ass-ugly crazy bitch, kid or no kid'}]",very unattractive,compound,ass-ugly,1997,"R.C., your shit is ass-ugly",2011,"You better dump that fat ass-ugly crazy bitch, kid or no kid",ass
1960s+,"{'@first': 'yes', 'date': '1985', 'con': '1968', 'aut': 'D.A. Dye', 'tit': 'Citadel', 'edn': '1989', 'num': '133', '#text': 'Listen, ass-bag'}",a derog. term of abuse,compound,ass-bag,1985,"Listen, ass-bag",1985,"Listen, ass-bag",ass
1950s+,"[{'@first': 'yes', 'date': '1955', 'aut': 'J.W. Ellson', 'tit': 'I’m Owen Harrison Harding', 'num': '182', '#text': 'Owen Harding [...] The old reliable ass bandit!'}, {'@class': 'edited', 'date': '1968', 'aut': 'C. Brown', 'tit': 'Disciple', 'num': '25', '#text': 'I think she’d like it if I was a big lover and seduced a lot of women, a real ass bandit, you know?'}, {'date': '1978', 'tit': 'Maledicta', 'num': '118', 'i': ['ass-bandit', 'molrower', 'swive', 'Athenian', 'ell'], '#text': 'II:1+2 (Summer/Winter) He misses [...] , formerly  (now obsolete, like so many other vivid sex terms: , , , etc.)'}, {'@class': 'edited', 'date': '1991', 'aut': 'T. Kakonis', 'tit': 'Double Down', 'num': '181', '#text': 'That line a work you’d be a regular ass bandit. More tail’n you could shake your schwantz at'}]","a womanizer, a playboy",compound,ass bandit,1955,Owen Harding [...] The old reliable ass bandit!,1991,That line a work you’d be a regular ass bandit. More tail’n you could shake your schwantz at,ass
1970s+,"{'@first': 'yes', 'date': '1972', 'tit': 'End Zone', 'num': '117', '#text': 'Delillo That ass-belly sixty-two got his first in'}",a grotesquely fat person,compound,ass-belly,1972,Delillo That ass-belly sixty-two got his first in,1972,Delillo That ass-belly sixty-two got his first in,ass
2000s,"{'@first': 'yes', 'date': '2000', 'tit': 'Other Side of the Wall: Prisoner’s Dict.', '#text': 'July [Internet] Ass Betting: Gambling without any funds or means of paying back one’s loses'}",gambling without means of paying back one’s losses,compound,ass betting,2000,July [Internet] Ass Betting: Gambling without any funds or means of paying back one’s loses,2000,July [Internet] Ass Betting: Gambling without any funds or means of paying back one’s loses,ass
1970s+,"[{'@class': 'new', 'pre': '1835', 'tit': ['Rumcodger’s Coll.', 'Bawdy Songbooks'], 'src': 'Spedding & Watt', 'edn': '2011', 'num': '265', '#text': '‘John and the Maid’ in in (eds) IV With his spur up, prick up, he did kick up, / All the stones, to ass bones, she she cried, ‘pray do go on’]'}, {'@first': 'yes', 'date': '1972', 'aut': 'D. Pearce', 'tit': 'Pier Head', 'num': '32', '#text': 'Before some other idiot breaks his goddam assbone'}, {'date': '1999', 'tit': 'www.sexdrip.com', '#text': '[Internet] [headline] Ram My Assbone Bone My Tight Virgin Ass!!'}, {'date': '2001', 'aut': 'J. Stahl', 'tit': 'Plainclothes Naked', 'edn': '2002', 'num': '125', '#text': 'Two broken shoulders, half his teeth smashed, and a busted ass-bone'}, {'date': '2002', 'tit': 'www.thechraveler.com', '#text': 'Jan. [Internet] If you and your buddies were barracho one night and decided to go pool hopping, you’d have about a 50-50 chance of cannonballing blindly into the wrong pool and breaking your assbone'}, {'@class': 'edited', 'date': '2009', 'aut': 'D. Black', 'tit': 'Just a Baby', 'num': '230', '#text': 'If you so much as look at her crooked, my foot bone will unite with your ass bone'}, {'@class': 'new', 'date': '2009', 'aut': 'P. Temple', 'tit': 'Truth', 'num': '77', '#text': 'He’s on his arsebone in the Bekaa Valley, snorting Cloud Nine'}]",the buttocks; the coccyx; thus  v,compound,assbone,1835,"‘John and the Maid’ in in (eds) IV With his spur up, prick up, he did kick up, / All the stones, to ass bones, she she cried, ‘pray do go on’]",2009,"He’s on his arsebone in the Bekaa Valley, snorting Cloud Nine",ass
1980s+,"[{'@first': 'yes', 'date': '1989–2003', 'aut': 'R.O. Scott', 'tit': 'Gay Sl. Dict.', '#text': '[Internet]'}, {'date': '2002', 'tit': 'gaymen.exyahoo.com', '#text': '[Internet] Access Instantly with Gay MAN Hot Sex! assboy'}]",a male homosexual,compound,ass boy,1989,[Internet],2002,[Internet] Access Instantly with Gay MAN Hot Sex! assboy,ass
1940s+,"[{'@first': 'yes', 'date': '1962', 'con': 'WWII', 'aut': 'J. Jones', 'tit': 'Thin Red Line', 'edn': '1963', 'num': '37', '#text': 'Well, here’s a real ass-breaker. I sure can collect them'}, {'date': '1976', 'tit': 'Rolling Stone', 'num': 'n.p.', '#text': 'in  20 May No. 216 I did it once. It was ass-breaker. You work yourself to death'}, {'date': '1991', 'aut': 'B. Duffy', 'tit': 'Head Count', 'num': '152', '#text': 'That’s an ass-breaker for an old man'}, {'@class': 'edited', 'date': '2001', 'aut': 'W. Lawson', 'tit': 'Praetorian Condition', 'num': '268', '#text': 'It’s [i.e. a climb] going to be a goddamn ass-breaker [...] It’s going to be hard'}]","a difficult, boring or exasperating job, problem or situation",compound,ass-breaker,1962,"Well, here’s a real ass-breaker. I sure can collect them",2001,It’s [i.e. a climb] going to be a goddamn ass-breaker [...] It’s going to be hard,ass
1960s,"{'@first': 'yes', 'date': '1966', 'tit': 'DARE', '#text': 'in'}","a dive in which the diver lands stomach down on the water, rather than cutting through it",compound,ass-breaker,1966,in,1966,in,ass
1960s,"{'@first': 'yes', 'date': '1966', 'aut': 'R. Giallombardo', 'tit': 'Study of a Women’s Prison', 'num': '200', '#text': 'Gloss. in Ass Breaker. [...] a strict disciplinarian'}","a severe, authoritarian guard",compound,ass-breaker,1966,Gloss. in Ass Breaker. [...] a strict disciplinarian,1966,Gloss. in Ass Breaker. [...] a strict disciplinarian,ass
2000s,"{'@first': 'yes', 'date': '2001', 'tit': 'FilmScore Monthly', '#text': '[Internet] In the film, Dingus Magee (Frank Sinatra) is making a living as an ass-breaker when he encounters old acquaintance Herkimer ‘Hoke’ Birdsill (George Kennedy)'}",a thug,compound,ass-breaker,2001,"[Internet] In the film, Dingus Magee (Frank Sinatra) is making a living as an ass-breaker when he encounters old acquaintance Herkimer ‘Hoke’ Birdsill (George Kennedy)",2001,"[Internet] In the film, Dingus Magee (Frank Sinatra) is making a living as an ass-breaker when he encounters old acquaintance Herkimer ‘Hoke’ Birdsill (George Kennedy)",ass
2000s,"{'@first': 'yes', 'date': '2002', 'tit': 'Sex, Sex Humor and Sexuality', '#text': '‘Gang Rape’ in  [Internet] ‘Come on Chuckie, get out. She’s had enough of your ass breaker.’ Chuckie slowly withdrew'}",the penis,compound,ass-breaker,2002,"‘Gang Rape’ in  [Internet] ‘Come on Chuckie, get out. She’s had enough of your ass breaker.’ Chuckie slowly withdrew",2002,"‘Gang Rape’ in  [Internet] ‘Come on Chuckie, get out. She’s had enough of your ass breaker.’ Chuckie slowly withdrew",ass
1990s+,"{'@first': 'yes', 'date': '1999', 'aut': 'S. King', 'tit': 'Hearts in Atlantis', 'edn': '2000', 'num': '446', '#text': 'Suck me sideways, ass-breath'}",a derog. term of address,compound,ass-breath,1999,"Suck me sideways, ass-breath",1999,"Suck me sideways, ass-breath",ass
1950s,"[{'@first': 'yes', 'date': '1953', 'aut': 'W. Fisher', 'tit': 'Waiters', 'num': ['65', '218'], '#text': 'Once an ass-bucket always an ass-bucket. [Ibid.] Who the hell is this jerk? Just another ass-bucket'}, {'date': '1954', 'con': '1920s–30s', 'aut': 'J.O. Killens', 'tit': 'Youngblood', 'edn': '1956', 'num': '58', '#text': 'You assbuckets make me sick! Nothing but a bunch of pansies'}]",an unpopular or unimportant person,compound,ass-bucket,1953,Once an ass-bucket always an ass-bucket. [Ibid.] Who the hell is this jerk? Just another ass-bucket,1954,You assbuckets make me sick! Nothing but a bunch of pansies,ass
2000s,"{'@first': 'yes', 'date': '2000', 'tit': ['Ebonics Primer', 'www.dolemite.com'], 'b': 'assbulb', 'i': 'Yo looky at dem assbulbs jus sittin their like no ones biz', '#text': 'at  [Internet]  Definition: a person or persons who spend their whole time sitting around on their asses. Example:'}",a lazy person,compound,assbulb,2000,at  [Internet]  Definition: a person or persons who spend their whole time sitting around on their asses. Example:,2000,at  [Internet]  Definition: a person or persons who spend their whole time sitting around on their asses. Example:,ass
1970s+,"{'@first': 'yes', 'date': '1979', 'tit': 'Maledicta', 'num': '231', 'b': ['ass burglar', 'ass-bandit', 'ass peddler', 'ass watcher', 'cruiser'], '#text': 'III:2 He also may or may not know the following words and expressions:  or ,  (hustler) and  ()'}",a male homosexual,compound,ass burglar,1979,"III:2 He also may or may not know the following words and expressions:  or ,  (hustler) and  ()",1979,"III:2 He also may or may not know the following words and expressions:  or ,  (hustler) and  ()",ass
1960s+,"[{'@first': 'yes', 'date': '1963', 'aut': 'T.I. Rubin', 'tit': 'Sweet Daddy', 'num': '8', '#text': 'in That was the first time I thought of the bucks in the ass business'}, {'date': '1989–2003', 'aut': 'R.O. Scott', 'tit': 'Gay Sl. Dict.', 'i': 'ass business', '#text': '[Internet] : prostitution'}]",male homosexual prostitution,compound,ass business,1963,in That was the first time I thought of the bucks in the ass business,1989,[Internet] : prostitution,ass
